"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0.03760693818829
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",2,0,0
"25",2,1,0
"26",2,2,0
"27",2,3,0
"28",2,4,0
"29",2,5,0
"30",2,6,0
"31",2,7,0.797255116641775
"32",2,8,0
"33",2,9,0
"34",2,10,0
"35",2,11,0
"36",2,12,0
"37",2,13,0
"38",2,14,0
"39",2,15,0.132060663492809
"40",2,16,0.0880404423285396
"41",2,17,0.0880404423285396
"42",2,18,0.0293468141095132
"43",2,19,0
"44",2,20,0
"45",2,21,0
"46",2,22,0
"47",3,0,0
"48",3,1,0
"49",3,2,0
"50",3,3,0.885501751267339
"51",3,4,0
"52",3,5,1.30857481020618
"53",3,6,0.344361792159521
"54",3,7,1.1216355516053
"55",3,8,0.924857384656999
"56",3,9,0
"57",3,10,0
"58",3,11,0
"59",3,12,0
"60",3,13,0
"61",3,14,0
"62",3,15,0.118066900168979
"63",3,16,0.0885501751267339
"64",3,17,0
"65",3,18,0
"66",3,19,0
"67",3,20,0
"68",3,21,0
"69",3,22,0
"70",4,0,0
"71",4,1,0
"72",4,2,0
"73",4,3,0.218759217652958
"74",4,4,0.222422935329827
"75",4,5,0.31689447376003
"76",4,6,0.724250374790338
"77",4,7,0.787987043832021
"78",4,8,1.30571914399067
"79",4,9,1.48474688281854
"80",4,10,2.93921992782561
"81",4,11,0
"82",4,12,0
"83",4,13,0
"84",4,14,0
"85",4,15,0
"86",4,16,0
"87",4,17,0
"88",4,18,0
"89",4,19,0
"90",4,20,0
"91",4,21,0
"92",4,22,0
"93",5,0,0
"94",5,1,0
"95",5,2,0.05190691306454
"96",5,3,0.175506486860542
"97",5,4,0.00871325564584124
"98",5,5,0.726053247929135
"99",5,6,0.445037964930114
"100",5,7,0.52488606947528
"101",5,8,0.427303489929234
"102",5,9,1.63817498026756
"103",5,10,1.94799102620097
"104",5,11,2.05442656569678
"105",5,12,0
"106",5,13,0
"107",5,14,0
"108",5,15,0
"109",5,16,0
"110",5,17,0
"111",5,18,0
"112",5,19,0
"113",5,20,0
"114",5,21,0
"115",5,22,0
"116",6,0,0
"117",6,1,0
"118",6,2,0.0645831542356154
"119",6,3,0.234260739371139
"120",6,4,0.374385095671245
"121",6,5,0.320213382775417
"122",6,6,0.627681145460732
"123",6,7,0.257112216668098
"124",6,8,0.121662205083266
"125",6,9,1.99768446883673
"126",6,10,1.06319766407214
"127",6,11,0
"128",6,12,0.652062265835589
"129",6,13,2.28715766199002
"130",6,14,0
"131",6,15,0
"132",6,16,0
"133",6,17,0
"134",6,18,0
"135",6,19,0
"136",6,20,0
"137",6,21,0
"138",6,22,0
"139",7,0,0
"140",7,1,0
"141",7,2,0.0544321107144747
"142",7,3,0.124699051073336
"143",7,4,0.953499827922471
"144",7,5,0.224522148415501
"145",7,6,0
"146",7,7,0.221558272265286
"147",7,8,0.077386541371228
"148",7,9,0
"149",7,10,0
"150",7,11,0.599953520689712
"151",7,12,0.320799599546113
"152",7,13,3.3687223623051
"153",7,14,0
"154",7,15,2.05442656569678
"155",7,16,0
"156",7,17,0
"157",7,18,0
"158",7,19,0
"159",7,20,0
"160",7,21,0
"161",7,22,0
"162",8,0,0
"163",8,1,0
"164",8,2,0.292736288673703
"165",8,3,0.151872677093995
"166",8,4,0.232731096293242
"167",8,5,2.03400233804041
"168",8,6,5.28865759989865
"169",8,7,0
"170",8,8,0
"171",8,9,0
"172",8,10,0
"173",8,11,0
"174",8,12,0
"175",8,13,0
"176",8,14,0
"177",8,15,0
"178",8,16,0
"179",8,17,0
"180",8,18,0
"181",8,19,0
"182",8,20,0
"183",8,21,0
"184",8,22,0
"185",9,0,0
"186",9,1,0
"187",9,2,0
"188",9,3,0
"189",9,4,0.148835550025244
"190",9,5,0.344740564727498
"191",9,6,2.3015003633986
"192",9,7,0
"193",9,8,0
"194",9,9,0.0666144352858994
"195",9,10,0.279153921143599
"196",9,11,0
"197",9,12,1.24259517553261
"198",9,13,0.342435490317431
"199",9,14,0
"200",9,15,1.50453777531146
"201",9,16,1.76958672425766
"202",9,17,0
"203",9,18,0
"204",9,19,0
"205",9,20,0
"206",9,21,0
"207",9,22,0
"208",10,0,0
"209",10,1,0
"210",10,2,0
"211",10,3,0
"212",10,4,0
"213",10,5,0.248433048153741
"214",10,6,0.802285471866267
"215",10,7,0.0507433910040523
"216",10,8,0.114243704865894
"217",10,9,0
"218",10,10,0.0448071926565032
"219",10,11,0
"220",10,12,0.108735788366792
"221",10,13,1.6613873888576
"222",10,14,1.42911765978036
"223",10,15,1.77012317722439
"224",10,16,1.77012317722439
"225",10,17,0
"226",10,18,0
"227",10,19,0
"228",10,20,0
"229",10,21,0
"230",10,22,0
"231",11,0,0
"232",11,1,0
"233",11,2,0
"234",11,3,0
"235",11,4,0.0379572065197341
"236",11,5,0
"237",11,6,0.0364706017120784
"238",11,7,0.598660021811572
"239",11,8,0.109981224234342
"240",11,9,0.439516161524958
"241",11,10,0
"242",11,11,0.0327791438427953
"243",11,12,0.125473519056172
"244",11,13,1.15613435600679
"245",11,14,0.133025416448734
"246",11,15,1.01449399639886
"247",11,16,0.139949229396273
"248",11,17,3.28722539824055
"249",11,18,0.888333724807138
"250",11,19,0
"251",11,20,0
"252",11,21,0
"253",11,22,0
"254",12,0,0
"255",12,1,0
"256",12,2,0
"257",12,3,0
"258",12,4,0.0772519587445227
"259",12,5,0.317641684248696
"260",12,6,0
"261",12,7,0.744053075052565
"262",12,8,0.437445840980093
"263",12,9,0.203330793845442
"264",12,10,0.0934660872269086
"265",12,11,0
"266",12,12,0
"267",12,13,0.477420236011487
"268",12,14,0.713521849820039
"269",12,15,0.415093287703902
"270",12,16,0.118422098539123
"271",12,17,1.58552302216708
"272",12,18,0
"273",12,19,0
"274",12,20,2.81683006566014
"275",12,21,0
"276",12,22,0
"277",13,0,0
"278",13,1,0
"279",13,2,1.2400429860556
"280",13,3,0
"281",13,4,0
"282",13,5,1.25961113488369
"283",13,6,0
"284",13,7,0.871168576985328
"285",13,8,1.81234723641524
"286",13,9,0.322183742534899
"287",13,10,0
"288",13,11,0
"289",13,12,0
"290",13,13,0
"291",13,14,0
"292",13,15,0
"293",13,16,2.49464632312524
"294",13,17,0
"295",13,18,0
"296",13,19,0
"297",13,20,0
"298",13,21,0
"299",13,22,0
"300",14,0,0
"301",14,1,0
"302",14,2,0.452845458543873
"303",14,3,0.150506420816785
"304",14,4,0.341044625776613
"305",14,5,1.59257572957117
"306",14,6,0.350767114648641
"307",14,7,0
"308",14,8,1.15079715033613
"309",14,9,2.55348785836153
"310",14,10,0
"311",14,11,0.519641917138123
"312",14,12,0
"313",14,13,0
"314",14,14,0
"315",14,15,0
"316",14,16,0
"317",14,17,0.888333724807138
"318",14,18,0
"319",14,19,0
"320",14,20,0
"321",14,21,0
"322",14,22,0
"323",15,0,0
"324",15,1,0
"325",15,2,0.33185921948193
"326",15,3,2.65294837237402
"327",15,4,0.532688559635677
"328",15,5,0
"329",15,6,2.41921311923126
"330",15,7,2.06329072927712
"331",15,8,0
"332",15,9,0
"333",15,10,0
"334",15,11,0
"335",15,12,0
"336",15,13,0
"337",15,14,0
"338",15,15,0
"339",15,16,0
"340",15,17,0
"341",15,18,0
"342",15,19,0
"343",15,20,0
"344",15,21,0
"345",15,22,0
"346",16,0,0
"347",16,1,0
"348",16,2,0.325400794687961
"349",16,3,1.19251933474191
"350",16,4,1.66024159416857
"351",16,5,1.04708337489177
"352",16,6,0.303049139402601
"353",16,7,0.397616946428883
"354",16,8,0
"355",16,9,3.07408881567831
"356",16,10,0
"357",16,11,0
"358",16,12,0
"359",16,13,0
"360",16,14,0
"361",16,15,0
"362",16,16,0
"363",16,17,0
"364",16,18,0
"365",16,19,0
"366",16,20,0
"367",16,21,0
"368",16,22,0
"369",17,0,0
"370",17,1,2.86297934993923
"371",17,2,2.21179188995305
"372",17,3,0.392957949991659
"373",17,4,0.0224547399995234
"374",17,5,0
"375",17,6,0
"376",17,7,0
"377",17,8,0
"378",17,9,0
"379",17,10,0
"380",17,11,0
"381",17,12,0
"382",17,13,0
"383",17,14,0
"384",17,15,0
"385",17,16,0
"386",17,17,0
"387",17,18,0
"388",17,19,0
"389",17,20,0
"390",17,21,0
"391",17,22,0
"392",18,0,0
"393",18,1,0
"394",18,2,0.641616422618689
"395",18,3,2.47826278244405
"396",18,4,1.92821911607033
"397",18,5,0.888610949589812
"398",18,6,0.286068830097498
"399",18,7,0
"400",18,8,0
"401",18,9,1.77722189917962
"402",18,10,0
"403",18,11,0
"404",18,12,0
"405",18,13,0
"406",18,14,0
"407",18,15,0
"408",18,16,0
"409",18,17,0
"410",18,18,0
"411",18,19,0
"412",18,20,0
"413",18,21,0
"414",18,22,0
"415",19,0,0
"416",19,1,0
"417",19,2,0.0852394899437507
"418",19,3,1.21538143980915
"419",19,4,1.08164454261074
"420",19,5,0.434564593296507
"421",19,6,1.47772891908991
"422",19,7,0
"423",19,8,0.0732767784734163
"424",19,9,3.63216423677653
"425",19,10,0
"426",19,11,0
"427",19,12,0
"428",19,13,0
"429",19,14,0
"430",19,15,0
"431",19,16,0
"432",19,17,0
"433",19,18,0
"434",19,19,0
"435",19,20,0
"436",19,21,0
"437",19,22,0
"438",20,0,0
"439",20,1,0
"440",20,2,0
"441",20,3,0.069313886259842
"442",20,4,2.68175845245334
"443",20,5,0
"444",20,6,0.654875696447052
"445",20,7,0
"446",20,8,0
"447",20,9,1.77722189917962
"448",20,10,0
"449",20,11,0
"450",20,12,0.519804083240258
"451",20,13,0.233735253142759
"452",20,14,0
"453",20,15,0
"454",20,16,0
"455",20,17,0
"456",20,18,0
"457",20,19,0
"458",20,20,2.06329072927712
"459",20,21,0
"460",20,22,0
"461",21,0,0
"462",21,1,0
"463",21,2,0.627967440511441
"464",21,3,0
"465",21,4,0.856319237061056
"466",21,5,0
"467",21,6,0
"468",21,7,0
"469",21,8,0
"470",21,9,0.331110104996941
"471",21,10,0
"472",21,11,0
"473",21,12,1.79256160291448
"474",21,13,0.981912725163344
"475",21,14,0
"476",21,15,0.045670359309923
"477",21,16,1.4842866775725
"478",21,17,0.137011077929769
"479",21,18,0.0114175898274807
"480",21,19,0
"481",21,20,0.045670359309923
"482",21,21,0
"483",21,22,0
"484",22,0,0
"485",22,1,0
"486",22,2,0.484365675891345
"487",22,3,0
"488",22,4,0
"489",22,5,0
"490",22,6,0
"491",22,7,3.36288169261706
"492",22,8,0
"493",22,9,1.97897976149893
"494",22,10,0
"495",22,11,0
"496",22,12,0
"497",22,13,0
"498",22,14,0
"499",22,15,0
"500",22,16,0.525882733824889
"501",22,17,0.31829744415717
"502",22,18,0.456687637268983
"503",22,19,0.456687637268983
"504",22,20,0.235263328290082
"505",22,21,0
"506",22,22,0
"507",23,0,0
"508",23,1,0
"509",23,2,0.306458108236214
"510",23,3,0.970450676081344
"511",23,4,0.0612916216472428
"512",23,5,0.388180270432538
"513",23,6,1.36884621678842
"514",23,7,0.480117702903402
"515",23,8,0
"516",23,9,1.6650890547501
"517",23,10,0
"518",23,11,0
"519",23,12,0.21452067576535
"520",23,13,0
"521",23,14,0
"522",23,15,0
"523",23,16,0
"524",23,17,0.0204305405490809
"525",23,18,0.0204305405490809
"526",23,19,0.0204305405490809
"527",23,20,0
"528",23,21,0
"529",23,22,0
"530",24,0,0
"531",24,1,0
"532",24,2,0.202313644882437
"533",24,3,1.28097558020999
"534",24,4,3.74434476587792
"535",24,5,0.741644612546214
"536",24,6,0
"537",24,7,0
"538",24,8,1.15613729503996
"539",24,9,0
"540",24,10,0.874584101443483
"541",24,11,0
"542",24,12,0
"543",24,13,0
"544",24,14,0
"545",24,15,0
"546",24,16,0
"547",24,17,0
"548",24,18,0
"549",24,19,0
"550",24,20,0
"551",24,21,0
"552",24,22,0
"553",25,0,0
"554",25,1,0.143616636203397
"555",25,2,0.547001253570518
"556",25,3,0.905740206525229
"557",25,4,0.0983686100235678
"558",25,5,0
"559",25,6,0
"560",25,7,0
"561",25,8,3.16992208627549
"562",25,9,0.680083225461105
"563",25,10,1.06908497742586
"564",25,11,1.38618300451483
"565",25,12,0
"566",25,13,0
"567",25,14,0
"568",25,15,0
"569",25,16,0
"570",25,17,0
"571",25,18,0
"572",25,19,0
"573",25,20,0
"574",25,21,0
"575",25,22,0
"576",26,0,0
"577",26,1,0
"578",26,2,3.5408460507594
"579",26,3,0
"580",26,4,0
"581",26,5,0
"582",26,6,0
"583",26,7,0
"584",26,8,1.36186386567669
"585",26,9,0.0473691779365806
"586",26,10,0.272372773135338
"587",26,11,0.90001438079503
"588",26,12,0.307899656587774
"589",26,13,0
"590",26,14,0
"591",26,15,0
"592",26,16,0.0118422944841451
"593",26,17,0.118422944841451
"594",26,18,0.0118422944841451
"595",26,19,0
"596",26,20,0
"597",26,21,0
"598",26,22,0
"599",27,0,0
"600",27,1,0.828944833217192
"601",27,2,0.788508499889525
"602",27,3,0.828944833217192
"603",27,4,0.505454166595849
"604",27,5,0.0336969444397233
"605",27,6,0.0336969444397233
"606",27,7,0
"607",27,8,0
"608",27,9,0
"609",27,10,0
"610",27,11,0
"611",27,12,0
"612",27,13,0
"613",27,14,0
"614",27,15,0
"615",27,16,0
"616",27,17,0
"617",27,18,0.00673938888794465
"618",27,19,0.00673938888794465
"619",27,20,0
"620",27,21,0
"621",27,22,0
"622",28,0,0
"623",28,1,0.676927405331292
"624",28,2,0.160908973398422
"625",28,3,1.06532837560335
"626",28,4,0.0554858528960076
"627",28,5,0.0610344381856083
"628",28,6,0
"629",28,7,0
"630",28,8,0
"631",28,9,0
"632",28,10,0.0277429264480038
"633",28,11,0
"634",28,12,0
"635",28,13,0
"636",28,14,0
"637",28,15,0
"638",28,16,0
"639",28,17,0
"640",28,18,0
"641",28,19,0
"642",28,20,0.00554858528960076
"643",28,21,0
"644",28,22,0
"645",29,0,0
"646",29,1,1.0513439106471
"647",29,2,0.484388817470913
"648",29,3,0.203663480072998
"649",29,4,0.275220919017565
"650",29,5,0
"651",29,6,0
"652",29,7,0
"653",29,8,0
"654",29,9,0
"655",29,10,0
"656",29,11,0
"657",29,12,0
"658",29,13,0
"659",29,14,0
"660",29,15,0
"661",29,16,0
"662",29,17,0
"663",29,18,0
"664",29,19,0
"665",29,20,0
"666",29,21,0
"667",29,22,0
"668",30,0,0
"669",30,1,0.2318949368518
"670",30,2,0.100352932460093
"671",30,3,0.160680479408932
"672",30,4,0.795021719409416
"673",30,5,1.06116046428308
"674",30,6,0
"675",30,7,0
"676",30,8,0
"677",30,9,0
"678",30,10,0
"679",30,11,0
"680",30,12,0
"681",30,13,0
"682",30,14,0
"683",30,15,0
"684",30,16,0.201746568995892
"685",30,17,0
"686",30,18,0.324419074411222
"687",30,19,0.407375374767079
"688",30,20,0.760011314717183
"689",30,21,3.9573371346953
"690",30,22,0
"691",31,0,0
"692",31,1,0.373268874893934
"693",31,2,0
"694",31,3,0
"695",31,4,0
"696",31,5,0
"697",31,6,0
"698",31,7,0
"699",31,8,0
"700",31,9,0
"701",31,10,0
"702",31,11,0
"703",31,12,0
"704",31,13,0
"705",31,14,0
"706",31,15,0
"707",31,16,0.347702513599829
"708",31,17,0.281229974235156
"709",31,18,0.265890157458693
"710",31,19,0.199417618094019
"711",31,20,0.168737984541093
"712",31,21,0.112491989694062
"713",31,22,0
"714",32,0,0
"715",32,1,0
"716",32,2,1.32586170677
"717",32,3,0
"718",32,4,0
"719",32,5,0
"720",32,6,0
"721",32,7,0.279830108966532
"722",32,8,0
"723",32,9,0
"724",32,10,0
"725",32,11,0
"726",32,12,0
"727",32,13,0
"728",32,14,0
"729",32,15,0.546334974648943
"730",32,16,0
"731",32,17,0
"732",32,18,0.0533009731364822
"733",32,19,0.326468460460954
"734",32,20,0.533009731364822
"735",32,21,0
"736",32,22,0
"737",33,0,0
"738",33,1,1.03811296969269
"739",33,2,2.98603281170033
"740",33,3,2.30950975279948
"741",33,4,0
"742",33,5,0
"743",33,6,0
"744",33,7,0
"745",33,8,0
"746",33,9,0
"747",33,10,0
"748",33,11,0
"749",33,12,0
"750",33,13,0
"751",33,14,0
"752",33,15,0.0583209533535221
"753",33,16,0
"754",33,17,0
"755",33,18,0
"756",33,19,0.128306097377749
"757",33,20,0.0116641906707044
"758",33,21,0
"759",33,22,0.0583209533535221
"760",34,0,0
"761",34,1,0.0242197745688814
"762",34,2,2.15622998254731
"763",34,3,4.07519194897316
"764",34,4,0
"765",34,5,0
"766",34,6,0
"767",34,7,0
"768",34,8,0
"769",34,9,0
"770",34,10,0
"771",34,11,0
"772",34,12,0
"773",34,13,0
"774",34,14,0
"775",34,15,0
"776",34,16,0
"777",34,17,0
"778",34,18,0
"779",34,19,0
"780",34,20,0
"781",34,21,0
"782",34,22,1.74435829391066
"783",35,0,0
"784",35,1,0.180229910817936
"785",35,2,1.21749988213297
"786",35,3,4.85791191313843
"787",35,4,0
"788",35,5,0
"789",35,6,0
"790",35,7,0
"791",35,8,0
"792",35,9,0
"793",35,10,0
"794",35,11,0
"795",35,12,0
"796",35,13,0
"797",35,14,0
"798",35,15,0
"799",35,16,0
"800",35,17,0
"801",35,18,1.74435829391066
"802",35,19,0
"803",35,20,0
"804",35,21,0
"805",35,22,0
"806",36,0,0
"807",36,1,0.0376297259671772
"808",36,2,0.280778971179814
"809",36,3,2.2158307636386
"810",36,4,5.46576053921441
"811",36,5,0
"812",36,6,0
"813",36,7,0
"814",36,8,0
"815",36,9,0
"816",36,10,0
"817",36,11,0
"818",36,12,0
"819",36,13,0
"820",36,14,0
"821",36,15,0
"822",36,16,0
"823",36,17,0
"824",36,18,0
"825",36,19,0
"826",36,20,0
"827",36,21,0
"828",36,22,0
"829",37,0,0
"830",37,1,0.172702738639967
"831",37,2,0.0201733945058746
"832",37,3,1.12157772547756
"833",37,4,0.186755190074622
"834",37,5,0.938614498263241
"835",37,6,0
"836",37,7,0
"837",37,8,0
"838",37,9,0
"839",37,10,0
"840",37,11,0
"841",37,12,0
"842",37,13,0
"843",37,14,0
"844",37,15,0
"845",37,16,0.0152521689268044
"846",37,17,0.031070431200154
"847",37,18,1.0047530753308
"848",37,19,2.25455038879049
"849",37,20,2.25455038879049
"850",37,21,0
"851",37,22,0
"852",38,0,0
"853",38,1,0.963241072632458
"854",38,2,0.72117001773006
"855",38,3,0
"856",38,4,0
"857",38,5,0
"858",38,6,0
"859",38,7,0
"860",38,8,0
"861",38,9,0
"862",38,10,0
"863",38,11,0
"864",38,12,0
"865",38,13,0
"866",38,14,0
"867",38,15,0
"868",38,16,0
"869",38,17,0
"870",38,18,0
"871",38,19,0
"872",38,20,0
"873",38,21,0
"874",38,22,0
"875",39,0,0
"876",39,1,0.39446841069231
"877",39,2,0.603656204241262
"878",39,3,0.137466264332169
"879",39,4,0.968240644426579
"880",39,5,0.364584440185317
"881",39,6,0
"882",39,7,0
"883",39,8,0
"884",39,9,0
"885",39,10,0
"886",39,11,0
"887",39,12,0
"888",39,13,0
"889",39,14,0
"890",39,15,0
"891",39,16,0
"892",39,17,0
"893",39,18,0
"894",39,19,0.0358607646083918
"895",39,20,0
"896",39,21,0
"897",39,22,0
"898",40,0,0
"899",40,1,0
"900",40,2,0.00218702387221759
"901",40,3,0.4349288889382
"902",40,4,0.554387943307145
"903",40,5,3.2379718752913
"904",40,6,0
"905",40,7,0.54219712954993
"906",40,8,0
"907",40,9,0
"908",40,10,0
"909",40,11,3.22832713904121
"910",40,12,0
"911",40,13,0
"912",40,14,0
"913",40,15,0
"914",40,16,0
"915",40,17,0
"916",40,18,0
"917",40,19,0
"918",40,20,0
"919",40,21,0
"920",40,22,0
