"",".id","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","x.counter","sum.dee","fee","cvr","olai","vai"
"1","1",1,0,0,0,398,466,1,0,1,0,1,1.23286181417807,0,0,3.64568660122111,0
"2","1",1,1,0,0,398,466,1,0,1,0,1,1.23286181417807,0,0,3.64568660122111,0
"3","1",1,2,0,0,398,466,1,0,1,0,1,1.23286181417807,0,0,3.64568660122111,0
"4","1",1,3,0,0,398,466,1,0,1,0,1,1.23286181417807,0,0,3.64568660122111,0
"5","1",1,4,0,0,398,466,1,0,1,0,1,1.23286181417807,0,0,3.64568660122111,0
"6","1",1,5,0,0,398,466,1,0,1,0,1,1.23286181417807,0,0,3.64568660122111,0
"7","1",1,6,60,68,398,466,1,60,0.849246231155779,0.163406109801419,1,1.23286181417807,0.13254211292963,0.150753768844221,3.64568660122111,0.549600995158962
"8","1",1,7,0,0,398,466,1,60,0.849246231155779,0,1,1.23286181417807,0,0,3.64568660122111,0
"9","1",1,8,0,0,398,466,1,60,0.849246231155779,0,1,1.23286181417807,0,0,3.64568660122111,0
"10","1",1,9,0,0,398,466,1,60,0.849246231155779,0,1,1.23286181417807,0,0,3.64568660122111,0
"11","1",1,10,0,0,398,466,1,60,0.849246231155779,0,1,1.23286181417807,0,0,3.64568660122111,0
"12","1",1,11,32,68,398,466,1,92,0.768844221105528,0.0994607935306381,1,1.23286181417807,0.080674729630544,0.0804020100502513,3.64568660122111,0.293120530751446
"13","1",1,12,134,68,398,466,1,226,0.4321608040201,0.576090625138928,1,1.23286181417807,0.467279153684387,0.336683417085427,3.64568660122111,1.22744222252168
"14","1",1,13,56,68,398,466,1,282,0.291457286432161,0.393904285707088,1,1.23286181417807,0.319504003755439,0.14070351758794,3.64568660122111,0.512960928815031
"15","1",1,14,116,68,398,466,1,398,0,0,1,1.23286181417807,0,0.291457286432161,3.64568660122111,1.06256192397399
"16","1",1,15,0,0,398,466,1,398,0,0,1,1.23286181417807,0,0,3.64568660122111,0
"17","1",1,16,0,0,398,466,1,398,0,0,1,1.23286181417807,0,0,3.64568660122111,0
"18","1",1,17,0,0,398,466,1,398,0,0,1,1.23286181417807,0,0,3.64568660122111,0
"19","1",1,18,0,0,398,466,1,398,0,0,1,1.23286181417807,0,0,3.64568660122111,0
"20","1",1,19,0,0,398,466,1,398,0,0,1,1.23286181417807,0,0,3.64568660122111,0
"21","1",1,20,0,0,398,466,1,398,0,0,1,1.23286181417807,0,0,3.64568660122111,0
"22","2",2,0,0,0,465,466,1,0,1,0,1,1.83797231238319,0,0,7.7822598194057,0
"23","2",2,1,0,0,465,466,1,0,1,0,1,1.83797231238319,0,0,7.7822598194057,0
"24","2",2,2,0,0,465,466,1,0,1,0,1,1.83797231238319,0,0,7.7822598194057,0
"25","2",2,3,0,0,465,466,1,0,1,0,1,1.83797231238319,0,0,7.7822598194057,0
"26","2",2,4,0,0,465,466,1,0,1,0,1,1.83797231238319,0,0,7.7822598194057,0
"27","2",2,5,2,1,465,466,1,2,0.995698924731183,0.00431035150112226,1,1.83797231238319,0.00234516672100098,0.0043010752688172,7.7822598194057,0.0334720852447557
"28","2",2,6,223,1,465,466,1,225,0.516129032258065,0.657088130744243,1,1.83797231238319,0.357507088826728,0.479569892473118,7.7822598194057,3.73213750479026
"29","2",2,7,0,0,465,466,1,225,0.516129032258065,0,1,1.83797231238319,0,0,7.7822598194057,0
"30","2",2,8,0,0,465,466,1,225,0.516129032258065,0,1,1.83797231238319,0,0,7.7822598194057,0
"31","2",2,9,0,0,465,466,1,225,0.516129032258065,0,1,1.83797231238319,0,0,7.7822598194057,0
"32","2",2,10,80,1,465,466,1,305,0.344086021505376,0.405465108108164,1,1.83797231238319,0.220604578957135,0.172043010752688,7.7822598194057,1.33888340979023
"33","2",2,11,18,1,465,466,1,323,0.305376344086021,0.119346757632566,1,1.83797231238319,0.0649339257335256,0.0387096774193548,7.7822598194057,0.301248767202801
"34","2",2,12,44,1,465,466,1,367,0.210752688172043,0.370859578930689,1,1.83797231238319,0.201776477497541,0.0946236559139785,7.7822598194057,0.736385875384625
"35","2",2,13,24,1,465,466,1,391,0.159139784946237,0.280902385466402,1,1.83797231238319,0.15283276226407,0.0516129032258065,7.7822598194057,0.401665022937068
"36","2",2,14,74,1,465,466,1,465,0,0,1,1.83797231238319,0,0.159139784946237,7.7822598194057,1.23846715405596
"37","2",2,15,0,0,465,466,1,465,0,0,1,1.83797231238319,0,0,7.7822598194057,0
"38","2",2,16,0,0,465,466,1,465,0,0,1,1.83797231238319,0,0,7.7822598194057,0
"39","2",2,17,0,0,465,466,1,465,0,0,1,1.83797231238319,0,0,7.7822598194057,0
"40","2",2,18,0,0,465,466,1,465,0,0,1,1.83797231238319,0,0,7.7822598194057,0
"41","2",2,19,0,0,465,466,1,465,0,0,1,1.83797231238319,0,0,7.7822598194057,0
"42","2",2,20,0,0,465,466,1,465,0,0,1,1.83797231238319,0,0,7.7822598194057,0
"43","3",3,0,0,0,462,465,1,0,1,0,1,5.03695260241363,0,0,7.40603088576227,0
"44","3",3,1,0,0,462,465,1,0,1,0,1,5.03695260241363,0,0,7.40603088576227,0
"45","3",3,2,0,0,462,465,1,0,1,0,1,5.03695260241363,0,0,7.40603088576227,0
"46","3",3,3,0,0,462,465,1,0,1,0,1,5.03695260241363,0,0,7.40603088576227,0
"47","3",3,4,0,0,462,465,1,0,1,0,1,5.03695260241363,0,0,7.40603088576227,0
"48","3",3,5,240,3,462,465,1,240,0.480519480519481,0.732887509209459,1,5.03695260241363,0.145502165110363,0.519480519480519,7.40603088576227,3.84728877182456
"49","3",3,6,169,3,462,465,1,409,0.114718614718615,1.43238546832016,1,5.03695260241363,0.28437541136158,0.365800865800866,7.40603088576227,2.70913251015979
"50","3",3,7,0,0,462,465,1,409,0.114718614718615,0,1,5.03695260241363,0,0,7.40603088576227,0
"51","3",3,8,0,0,462,465,1,409,0.114718614718615,0,1,5.03695260241363,0,0,7.40603088576227,0
"52","3",3,9,0,0,462,465,1,409,0.114718614718615,0,1,5.03695260241363,0,0,7.40603088576227,0
"53","3",3,10,15,3,462,465,1,424,0.0822510822510823,0.332705753825736,1,5.03695260241363,0.0660529848278319,0.0324675324675325,7.40603088576227,0.240455548239035
"54","3",3,11,23,3,462,465,1,447,0.0324675324675325,0.929535958624176,1,5.03695260241363,0.184543320534475,0.0497835497835498,7.40603088576227,0.368698507299853
"55","3",3,12,12,3,462,465,1,459,0.00649350649350649,1.6094379124341,1,5.03695260241363,0.31952611816575,0.025974025974026,7.40603088576227,0.192364438591228
"56","3",3,13,3,3,462,465,1,462,0,0,1,5.03695260241363,0,0.00649350649350649,7.40603088576227,0.048091109647807
"57","3",3,14,0,0,462,465,1,462,0,0,1,5.03695260241363,0,0,7.40603088576227,0
"58","3",3,15,0,0,462,465,1,462,0,0,1,5.03695260241363,0,0,7.40603088576227,0
"59","3",3,16,0,0,462,465,1,462,0,0,1,5.03695260241363,0,0,7.40603088576227,0
"60","3",3,17,0,0,462,465,1,462,0,0,1,5.03695260241363,0,0,7.40603088576227,0
"61","3",3,18,0,0,462,465,1,462,0,0,1,5.03695260241363,0,0,7.40603088576227,0
"62","3",3,19,0,0,462,465,1,462,0,0,1,5.03695260241363,0,0,7.40603088576227,0
"63","3",3,20,0,0,462,465,1,462,0,0,1,5.03695260241363,0,0,7.40603088576227,0
"64","4",4,0,0,0,458,466,1,0,1,0,1,5.02825689544608,0,0,6.69520388871813,0
"65","4",4,1,10,8,458,466,1,10,0.978165938864629,0.0220759516991998,1,5.02825689544608,0.00439037864576754,0.0218340611353712,6.69520388871813,0.146183491020047
"66","4",4,2,293,8,458,466,1,303,0.338427947598253,1.06136811549574,1,5.02825689544608,0.211080725898668,0.639737991266376,6.69520388871813,4.28317628688736
"67","4",4,3,0,0,458,466,1,303,0.338427947598253,0,1,5.02825689544608,0,0,6.69520388871813,0
"68","4",4,4,0,0,458,466,1,303,0.338427947598253,0,1,5.02825689544608,0,0,6.69520388871813,0
"69","4",4,5,0,0,458,466,1,303,0.338427947598253,0,1,5.02825689544608,0,0,6.69520388871813,0
"70","4",4,6,87,8,458,466,1,390,0.148471615720524,0.82391741174314,1,5.02825689544608,0.163857461715875,0.189956331877729,6.69520388871813,1.2717963718744
"71","4",4,7,21,8,458,466,1,411,0.102620087336245,0.369360103466048,1,5.02825689544608,0.0734568879725627,0.0458515283842795,6.69520388871813,0.306985331142098
"72","4",4,8,0,0,458,466,1,411,0.102620087336245,0,1,5.02825689544608,0,0,6.69520388871813,0
"73","4",4,9,0,0,458,466,1,411,0.102620087336245,0,1,5.02825689544608,0,0,6.69520388871813,0
"74","4",4,10,0,0,458,466,1,411,0.102620087336245,0,1,5.02825689544608,0,0,6.69520388871813,0
"75","4",4,11,0,0,458,466,1,411,0.102620087336245,0,1,5.02825689544608,0,0,6.69520388871813,0
"76","4",4,12,5,8,458,466,1,416,0.091703056768559,0.11247798342669,1,5.02825689544608,0.022369179969416,0.0109170305676856,6.69520388871813,0.0730917455100233
"77","4",4,13,39,8,458,466,1,455,0.00655021834061135,2.63905732961526,1,5.02825689544608,0.524845365797711,0.0851528384279476,6.69520388871813,0.570115614978182
"78","4",4,14,3,8,458,466,1,458,0,0,1,5.02825689544608,0,0.00655021834061135,6.69520388871813,0.043855047306014
"79","4",4,15,0,0,458,466,1,458,0,0,1,5.02825689544608,0,0,6.69520388871813,0
"80","4",4,16,0,0,458,466,1,458,0,0,1,5.02825689544608,0,0,6.69520388871813,0
"81","4",4,17,0,0,458,466,1,458,0,0,1,5.02825689544608,0,0,6.69520388871813,0
"82","4",4,18,0,0,458,466,1,458,0,0,1,5.02825689544608,0,0,6.69520388871813,0
"83","4",4,19,0,0,458,466,1,458,0,0,1,5.02825689544608,0,0,6.69520388871813,0
"84","4",4,20,0,0,458,466,1,458,0,0,1,5.02825689544608,0,0,6.69520388871813,0
"85","5",5,0,0,0,412,465,1,0,1,0,1,2.65372751936305,0,0,4.0772665700082,0
"86","5",5,1,0,0,412,465,1,0,1,0,1,2.65372751936305,0,0,4.0772665700082,0
"87","5",5,2,301,53,412,465,1,301,0.269417475728155,1.31149314803719,1,2.65372751936305,0.494207916399788,0.730582524271845,4.0772665700082,2.9787797028458
"88","5",5,3,0,0,412,465,1,301,0.269417475728155,0,1,2.65372751936305,0,0,4.0772665700082,0
"89","5",5,4,0,0,412,465,1,301,0.269417475728155,0,1,2.65372751936305,0,0,4.0772665700082,0
"90","5",5,5,0,0,412,465,1,301,0.269417475728155,0,1,2.65372751936305,0,0,4.0772665700082,0
"91","5",5,6,62,53,412,465,1,363,0.118932038834951,0.817709903201708,1,2.65372751936305,0.308136346793424,0.150485436893204,4.0772665700082,0.613569241117739
"92","5",5,7,13,53,412,465,1,376,0.087378640776699,0.308301359654517,1,2.65372751936305,0.116176720256688,0.0315533980582524,4.0772665700082,0.128651615073074
"93","5",5,8,7,53,412,465,1,383,0.0703883495145631,0.216223108469636,1,2.65372751936305,0.0814790165500993,0.0169902912621359,4.0772665700082,0.0692739465778092
"94","5",5,9,0,0,412,465,1,383,0.0703883495145631,0,1,2.65372751936305,0,0,4.0772665700082,0
"95","5",5,10,0,0,412,465,1,383,0.0703883495145631,0,1,2.65372751936305,0,0,4.0772665700082,0
"96","5",5,11,0,0,412,465,1,383,0.0703883495145631,0,1,2.65372751936305,0,0,4.0772665700082,0
"97","5",5,12,0,0,412,465,1,383,0.0703883495145631,0,1,2.65372751936305,0,0,4.0772665700082,0
"98","5",5,13,29,53,412,465,1,412,0,0,1,2.65372751936305,0,0.0703883495145631,4.0772665700082,0.286992064393781
"99","5",5,14,0,0,412,465,1,412,0,0,1,2.65372751936305,0,0,4.0772665700082,0
"100","5",5,15,0,0,412,465,1,412,0,0,1,2.65372751936305,0,0,4.0772665700082,0
"101","5",5,16,0,0,412,465,1,412,0,0,1,2.65372751936305,0,0,4.0772665700082,0
