"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0.0100922864263774
"6",1,5,0
"7",1,6,0.0621103780798141
"8",1,7,0
"9",1,8,0.0705058551688094
"10",1,9,0.733628566095643
"11",1,10,0.681451477358506
"12",1,11,0.590098903781788
"13",1,12,0
"14",1,13,0.98285515425151
"15",1,14,4.86925737883755
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",2,0,0
"32",2,1,0
"33",2,2,0
"34",2,3,1.0550578187577
"35",2,4,0.502730744371449
"36",2,5,0
"37",2,6,0.0151654949041471
"38",2,7,0.797329800056612
"39",2,8,5.62971614191009
"40",2,9,0
"41",2,10,0
"42",2,11,0
"43",2,12,0
"44",2,13,0
"45",2,14,0
"46",2,15,0
"47",2,16,0
"48",2,17,0
"49",2,18,0
"50",2,19,0
"51",2,20,0
"52",2,21,0
"53",2,22,0
"54",2,23,0
"55",2,24,0
"56",2,25,0
"57",2,26,0
"58",2,27,0
"59",2,28,0
"60",2,29,0
"61",3,0,0
"62",3,1,0.530386491194142
"63",3,2,0.766365462678378
"64",3,3,2.32027269471766
"65",3,4,0.365591430075404
"66",3,5,1.47674020395376
"67",3,6,0
"68",3,7,2.54064371738066
"69",3,8,0
"70",3,9,0
"71",3,10,0
"72",3,11,0
"73",3,12,0
"74",3,13,0
"75",3,14,0
"76",3,15,0
"77",3,16,0
"78",3,17,0
"79",3,18,0
"80",3,19,0
"81",3,20,0
"82",3,21,0
"83",3,22,0
"84",3,23,0
"85",3,24,0
"86",3,25,0
"87",3,26,0
"88",3,27,0
"89",3,28,0
"90",3,29,0
"91",4,0,0
"92",4,1,1.55372969780653
"93",4,2,4.88750026646895
"94",4,3,0.575295641210277
"95",4,4,0.983474394514243
"96",4,5,0
"97",4,6,0
"98",4,7,0
"99",4,8,0
"100",4,9,0
"101",4,10,0
"102",4,11,0
"103",4,12,0
"104",4,13,0
"105",4,14,0
"106",4,15,0
"107",4,16,0
"108",4,17,0
"109",4,18,0
"110",4,19,0
"111",4,20,0
"112",4,21,0
"113",4,22,0
"114",4,23,0
"115",4,24,0
"116",4,25,0
"117",4,26,0
"118",4,27,0
"119",4,28,0
"120",4,29,0
"121",5,0,0
"122",5,1,0
"123",5,2,1.00311207386093
"124",5,3,4.23766467118141
"125",5,4,2.75922325495766
"126",5,5,0
"127",5,6,0
"128",5,7,0
"129",5,8,0
"130",5,9,0
"131",5,10,0
"132",5,11,0
"133",5,12,0
"134",5,13,0
"135",5,14,0
"136",5,15,0
"137",5,16,0
"138",5,17,0
"139",5,18,0
"140",5,19,0
"141",5,20,0
"142",5,21,0
"143",5,22,0
"144",5,23,0
"145",5,24,0
"146",5,25,0
"147",5,26,0
"148",5,27,0
"149",5,28,0
"150",5,29,0
"151",6,0,0
"152",6,1,0.0100922864263774
"153",6,2,0.962741905573562
"154",6,3,2.02692673241414
"155",6,4,0
"156",6,5,0
"157",6,6,0
"158",6,7,0
"159",6,8,0
"160",6,9,0
"161",6,10,5.00023907558593
"162",6,11,0
"163",6,12,0
"164",6,13,0
"165",6,14,0
"166",6,15,0
"167",6,16,0
"168",6,17,0
"169",6,18,0
"170",6,19,0
"171",6,20,0
"172",6,21,0
"173",6,22,0
"174",6,23,0
"175",6,24,0
"176",6,25,0
"177",6,26,0
"178",6,27,0
"179",6,28,0
"180",6,29,0
"181",7,0,0
"182",7,1,0.0566586710872371
"183",7,2,6.38457129318824
"184",7,3,1.55877003572452
"185",7,4,0
"186",7,5,0
"187",7,6,0
"188",7,7,0
"189",7,8,0
"190",7,9,0
"191",7,10,0
"192",7,11,0
"193",7,12,0
"194",7,13,0
"195",7,14,0
"196",7,15,0
"197",7,16,0
"198",7,17,0
"199",7,18,0
"200",7,19,0
"201",7,20,0
"202",7,21,0
"203",7,22,0
"204",7,23,0
"205",7,24,0
"206",7,25,0
"207",7,26,0
"208",7,27,0
"209",7,28,0
"210",7,29,0
"211",8,0,0
"212",8,1,1.00311207386093
"213",8,2,0.331793578867818
"214",8,3,2.28211899586143
"215",8,4,0
"216",8,5,0
"217",8,6,0
"218",8,7,2.4172650429068
"219",8,8,0
"220",8,9,0
"221",8,10,0
"222",8,11,0
"223",8,12,0
"224",8,13,0
"225",8,14,0
"226",8,15,0
"227",8,16,0
"228",8,17,0
"229",8,18,0
"230",8,19,1.96571030850302
"231",8,20,0
"232",8,21,0
"233",8,22,0
"234",8,23,0
"235",8,24,0
"236",8,25,0
"237",8,26,0
"238",8,27,0
"239",8,28,0
"240",8,29,0
"241",9,0,0
"242",9,1,0.109731213424687
"243",9,2,0.124861121296762
"244",9,3,7.76540766527855
"245",9,4,0
"246",9,5,0
"247",9,6,0
"248",9,7,0
"249",9,8,0
"250",9,9,0
"251",9,10,0
"252",9,11,0
"253",9,12,0
"254",9,13,0
"255",9,14,0
"256",9,15,0
"257",9,16,0
"258",9,17,0
"259",9,18,0
"260",9,19,0
"261",9,20,0
"262",9,21,0
"263",9,22,0
"264",9,23,0
"265",9,24,0
"266",9,25,0
"267",9,26,0
"268",9,27,0
"269",9,28,0
"270",9,29,0
"271",10,0,0
"272",10,1,0.229699799883451
"273",10,2,5.80335141108806
"274",10,3,0
"275",10,4,0
"276",10,5,0
"277",10,6,0
"278",10,7,0
"279",10,8,0
"280",10,9,0
"281",10,10,0
"282",10,11,0
"283",10,12,0
"284",10,13,1.96694878902849
"285",10,14,0
"286",10,15,0
"287",10,16,0
"288",10,17,0
"289",10,18,0
"290",10,19,0
"291",10,20,0
"292",10,21,0
"293",10,22,0
"294",10,23,0
"295",10,24,0
"296",10,25,0
"297",10,26,0
"298",10,27,0
"299",10,28,0
"300",10,29,0
"301",11,0,0
"302",11,1,1.98448679218413
"303",11,2,5.24928764384189
"304",11,3,0
"305",11,4,0
"306",11,5,0
"307",11,6,0
"308",11,7,0
"309",11,8,0
"310",11,9,0
"311",11,10,0
"312",11,11,0
"313",11,12,0
"314",11,13,0.106692838289469
"315",11,14,0.128031405947363
"316",11,15,0
"317",11,16,0
"318",11,17,0
"319",11,18,0.149369973605257
"320",11,19,0.0640157029736816
"321",11,20,0
"322",11,21,0
"323",11,22,0
"324",11,23,0
"325",11,24,0
"326",11,25,0
"327",11,26,0
"328",11,27,0.0426771353157877
"329",11,28,0
"330",11,29,0
"331",12,0,0
"332",12,1,0.673828495464896
"333",12,2,3.57285806897666
"334",12,3,0.188045161525087
"335",12,4,0
"336",12,5,0
"337",12,6,0
"338",12,7,0
"339",12,8,0
"340",12,9,0
"341",12,10,0
"342",12,11,0
"343",12,12,0.203715591652178
"344",12,13,0.109693010889634
"345",12,14,0
"346",12,15,0
"347",12,16,0
"348",12,17,0
"349",12,18,0
"350",12,19,0
"351",12,20,0.0940225807625436
"352",12,21,0
"353",12,22,0
"354",12,23,0
"355",12,24,0
"356",12,25,0
"357",12,26,0.188045161525087
"358",12,27,0.297738172414721
"359",12,28,0
"360",12,29,0.078352150635453
"361",13,0,0
"362",13,1,0
"363",13,2,4.62900890081904
"364",13,3,0.11803846932622
"365",13,4,0
"366",13,5,0
"367",13,6,0
"368",13,7,0
"369",13,8,0
"370",13,9,0
"371",13,10,0
"372",13,11,0
"373",13,12,0.129296514140331
"374",13,13,0
"375",13,14,0
"376",13,15,3.12365611571441
"377",13,16,0
"378",13,17,0
"379",13,18,0
"380",13,19,0
"381",13,20,0
"382",13,21,0
"383",13,22,0
"384",13,23,0
"385",13,24,0
"386",13,25,0
"387",13,26,0
"388",13,27,0
"389",13,28,0
"390",13,29,0
"391",14,0,0
"392",14,1,0
"393",14,2,2.26553307475109
"394",14,3,0
"395",14,4,0.0992204266314345
"396",14,5,0.380344968753832
"397",14,6,0
"398",14,7,0.89298383968291
"399",14,8,0.876447101911005
"400",14,9,0
"401",14,10,0
"402",14,11,0.264587804350492
"403",14,12,0.810300150823382
"404",14,13,0
"405",14,14,0.0165367377719057
"406",14,15,0.148830639947152
"407",14,16,0
"408",14,17,0
"409",14,18,0
"410",14,19,0
"411",14,20,0
"412",14,21,0
"413",14,22,0
"414",14,23,0
"415",14,24,0
"416",14,25,0
"417",14,26,0
"418",14,27,0
"419",14,28,0
"420",14,29,0
"421",15,0,0
"422",15,1,2.95274887668929
"423",15,2,1.34467906591014
"424",15,3,0.207940061738682
"425",15,4,0.110901366260631
"426",15,5,0
"427",15,6,0
"428",15,7,0
"429",15,8,0
"430",15,9,0
"431",15,10,0
"432",15,11,0
"433",15,12,0
"434",15,13,0
"435",15,14,0
"436",15,15,0
"437",15,16,0
"438",15,17,0
"439",15,18,0
"440",15,19,0
"441",15,20,0
"442",15,21,0
"443",15,22,0
"444",15,23,0
"445",15,24,0
"446",15,25,0
"447",15,26,0
"448",15,27,0
"449",15,28,0
"450",15,29,0
"451",16,0,0
"452",16,1,0.248826557684345
"453",16,2,0.497358940290054
"454",16,3,1.54978477681719
"455",16,4,0.734091034973351
"456",16,5,0.226623335137921
"457",16,6,3.25295262985474
"458",16,7,1.4903627252424
"459",16,8,0
"460",16,9,0
"461",16,10,0
"462",16,11,0
"463",16,12,0
"464",16,13,0
"465",16,14,0
"466",16,15,0
"467",16,16,0
"468",16,17,0
"469",16,18,0
"470",16,19,0
"471",16,20,0
"472",16,21,0
"473",16,22,0
"474",16,23,0
"475",16,24,0
"476",16,25,0
"477",16,26,0
"478",16,27,0
"479",16,28,0
"480",16,29,0
"481",17,0,0
"482",17,1,0.0264279235204309
"483",17,2,0.501627330621035
"484",17,3,0.566958468833023
"485",17,4,3.22956703304714
"486",17,5,1.79391314390499
"487",17,6,1.88150610007338
"488",17,7,0
"489",17,8,0
"490",17,9,0
"491",17,10,0
"492",17,11,0
"493",17,12,0
"494",17,13,0
"495",17,14,0
"496",17,15,0
"497",17,16,0
"498",17,17,0
"499",17,18,0
"500",17,19,0
"501",17,20,0
"502",17,21,0
"503",17,22,0
"504",17,23,0
"505",17,24,0
"506",17,25,0
"507",17,26,0
"508",17,27,0
"509",17,28,0
"510",17,29,0
"511",18,0,0
"512",18,1,0.240295913597408
"513",18,2,0
"514",18,3,2.56931784538767
"515",18,4,1.8669144056414
"516",18,5,0.0184843010459545
"517",18,6,0
"518",18,7,0
"519",18,8,0
"520",18,9,0.0369686020919089
"521",18,10,0
"522",18,11,0.573013332424588
"523",18,12,0
"524",18,13,1.2569324711249
"525",18,14,0.0184843010459545
"526",18,15,0
"527",18,16,0
"528",18,17,0
"529",18,18,0
"530",18,19,0
"531",18,20,0
"532",18,21,0
"533",18,22,0
"534",18,23,0
"535",18,24,0
"536",18,25,0
"537",18,26,0
"538",18,27,0
"539",18,28,0
"540",18,29,0
"541",19,0,0
"542",19,1,0
"543",19,2,0
"544",19,3,1.29623403624753
"545",19,4,0
"546",19,5,0
"547",19,6,0
"548",19,7,0
"549",19,8,0
"550",19,9,0
"551",19,10,0
"552",19,11,0.52603752889922
"553",19,12,0
"554",19,13,1.75783828289132
"555",19,14,0
"556",19,15,0
"557",19,16,0
"558",19,17,0
"559",19,18,0
"560",19,19,0.746185497974399
"561",19,20,0.852762093079706
"562",19,21,0.181146899839037
"563",19,22,2.63979566106879
"564",19,23,0
"565",19,24,0
"566",19,25,0
"567",19,26,0
"568",19,27,0
"569",19,28,0
"570",19,29,0
"571",20,0,0
"572",20,1,0.331460892824669
"573",20,2,3.22814086924895
"574",20,3,0
"575",20,4,0
"576",20,5,0
"577",20,6,0
"578",20,7,0
"579",20,8,0.0720567158314497
"580",20,9,0.360283579157248
"581",20,10,0
"582",20,11,0
"583",20,12,0
"584",20,13,0
"585",20,14,0
"586",20,15,0
"587",20,16,0
"588",20,17,0
"589",20,18,0
"590",20,19,0
"591",20,20,0.273815520159509
"592",20,21,0.244992833826929
"593",20,22,0.0432340294988698
"594",20,23,0
"595",20,24,0
"596",20,25,0.0288226863325799
"597",20,26,0
"598",20,27,0.259404176993219
"599",20,28,0
"600",20,29,0
