"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0.0986645856084285
"3",1,2,7.90133541439157
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",2,0,0
"33",2,1,0.21864028647534
"34",2,2,3.78135971352466
"35",2,3,2
"36",2,4,2
"37",2,5,0
"38",2,6,0
"39",2,7,0
"40",2,8,0
"41",2,9,0
"42",2,10,0
"43",2,11,0
"44",2,12,0
"45",2,13,0
"46",2,14,0
"47",2,15,0
"48",2,16,0
"49",2,17,0
"50",2,18,0
"51",2,19,0
"52",2,20,0
"53",2,21,0
"54",2,22,0
"55",2,23,0
"56",2,24,0
"57",2,25,0
"58",2,26,0
"59",2,27,0
"60",2,28,0
"61",2,29,0
"62",2,30,0
"63",3,0,0
"64",3,1,1.07956333972434
"65",3,2,1.75429042705206
"66",3,3,0.713282920889298
"67",3,4,0
"68",3,5,0
"69",3,6,0
"70",3,7,0
"71",3,8,0
"72",3,9,0.385558335615837
"73",3,10,0.366280418835045
"74",3,11,0
"75",3,12,0
"76",3,13,0
"77",3,14,0
"78",3,15,0
"79",3,16,0.115667500684751
"80",3,17,0
"81",3,18,0
"82",3,19,0
"83",3,20,0
"84",3,21,0
"85",3,22,0
"86",3,23,0
"87",3,24,0
"88",3,25,0
"89",3,26,0.0192779167807918
"90",3,27,0.0385558335615837
"91",3,28,0
"92",3,29,0
"93",3,30,0
"94",4,0,0
"95",4,1,0
"96",4,2,2.11735695063816
"97",4,3,3.07528812730424
"98",4,4,0
"99",4,5,0
"100",4,6,0
"101",4,7,0
"102",4,8,0
"103",4,9,0
"104",4,10,2.8073549220576
"105",4,11,0
"106",4,12,0
"107",4,13,0
"108",4,14,0
"109",4,15,0
"110",4,16,0
"111",4,17,0
"112",4,18,0
"113",4,19,0
"114",4,20,0
"115",4,21,0
"116",4,22,0
"117",4,23,0
"118",4,24,0
"119",4,25,0
"120",4,26,0
"121",4,27,0
"122",4,28,0
"123",4,29,0
"124",4,30,0
"125",5,0,0
"126",5,1,0.707651592187043
"127",5,2,0
"128",5,3,4.46552556449065
"129",5,4,0.0244017790409325
"130",5,5,0
"131",5,6,0
"132",5,7,0
"133",5,8,0
"134",5,9,0
"135",5,10,0.341624906573055
"136",5,11,0.19521423232746
"137",5,12,0
"138",5,13,0.048803558081865
"139",5,14,0.244017790409325
"140",5,15,0
"141",5,16,0
