"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,3.77705241935484,1.02672442545412,11.322,4.64118234880813,8,0.879128356488011,54.3545864311821,4,6.79432330389777
"2",2,5.28995141700405,2.34240963367619,11.067,4.19393722631369,8,0.769772254929696,74.23170177918,11,9.2789627223975
"3",3,9.89542083333333,1.3556139347727,12.258,2.79416737177009,6.15229513050294,0.606228508510772,64.0095039202744,11,10.4041666666667
"4",4,3.67483410138249,3.61423261284573,10.696,3.05104921562227,3.91761940704161,0.529116927059803,17.2140557816321,2,4.39400921658986
"5",5,10.6826617647059,3.18233521040007,13.072,0.46333636604468,0.630137457820765,0.0800736758527509,7.12611330976718,12,11.3088235294118
"6",6,2.7454,0.68947006391696,3.519,3.38376232177662,6.15229513050294,0.729980147075612,18.8414038371653,3,3.0625
"7",7,1.59017741935484,0.148383110030425,1.805,7.5214210661076,8,1.29003711138157,19.5214210661076,2,2.44017763326345
"8",8,1.61246963562753,0.266922140243753,2.172,6.65280019350539,8,1.15722165698643,18.6528001935054,2,2.33160002418817
"9",9,1.8454979757085,0.264917978938749,2.254,7.75866746722616,8,1.32998985319884,19.7586674672262,2,2.46983343340327
"10",10,5.05382186234818,5.20685998965574,17.564,1.81776245044141,8,0.532524941439064,104.249123941182,17,13.0311404926478
"11",11,4.03165806451613,4.58557161130898,17.709,2.49731583928909,8,0.593642456594279,99.5523507951998,18,12.4440438494
"12",12,7.60892556634304,5.97418852754275,18.516,3.27913623010973,8,0.656809986035382,115.128202470557,16,14.3910253088197
"13",13,8.65325165562914,5.62244268774619,18.231,1.91033042269382,6.41021986281705,0.427331102215484,58.5197886151874,12,9.12913907284768
"14",14,2.28693527508091,0.464023162996292,3.312,5.88436088502575,8,1.05984075925698,25.847899697057,3,3.23098746213213
"15",15,2.33886774193548,0.837585622493503,4.227,4.91496550983029,8,0.89005179956282,31.0073319740361,4,3.87591649675451
"16",16,1.87760841423948,0.427150790074697,2.584,5.30862304856588,8,0.981412477131217,24.9282697946572,3,3.11603372433215
"17",17,16.8869132075472,8.66780876398145,32.851,0.821330004942947,3.68902459847256,0.18810804615585,64.0567799617792,11,17.3641509433962
"18",18,17.0645425101215,14.2092599301088,32.65,1.10675575349906,3.0715581024075,0.222226903985485,54.1377659871703,2,17.6255060728745
"19",19,4.90217171717172,6.73777905091073,19.399,1.12188057139932,1.98332458158094,0.206324238026945,10.5977646833971,1,5.34343434343434
"20",20,18.3139029126214,1.52395236645335,29.346,3.99151372283717,8,0.780865391607814,177.366729263921,19,22.1708411579902
"21",21,18.8401927083333,2.83242308885733,30.303,1.21030026920661,3.01789158035935,0.27405271152305,58.2673129603756,19,19.3072916666667
"22",22,6.38235021097046,6.40602341085263,19.001,2.78174201567079,6.72727405830588,0.559579754567153,45.9980911876991,1,6.83755274261603
"23",23,12.4444833333333,3.69426031342127,29.455,3.51424585589033,7.59836941814125,0.696601843585137,98.7154826906851,10,12.9916666666667
"24",24,9.27231818181818,1.57698116521273,18.462,3.33512571728241,8,0.628653829031915,102.301904314056,10,12.787738039257
"25",25,6.67826141078838,1.12746709954053,12.223,1.92219791314384,8,0.551155444053675,74.8105298998544,7,9.3513162374818
"26",26,5.10382572614108,1.77519066896172,14.986,1.63675202426257,8,0.496046968481241,75.2263166852558,6,9.40328958565697
"27",27,4.18168181818182,0.658915796571121,5.059,6.8719404215156,8,1.18088822670597,42.4509660570447,5,5.30637075713059
"28",28,2.85692531120332,0.786810673583555,5.034,5.051230056824,8,0.945971580779159,37.5084896494102,5,4.68856120617627
"29",29,2.86325726141079,2.37196395248202,9.813,4.80360613354898,8,0.956684668948892,58.6301999969294,10,7.32877499961617
"30",30,7.43746473029046,4.01022704674676,12.625,2.61144805588112,8,0.660393598133735,91.2356951007987,12,11.4044618875998
"31",31,0,0,0,0,0,0,0,0,0
"32",32,0,0,0,0,0,0,0,0,0
"33",33,0,0,0,0,0,0,0,0,0
"34",34,0,0,0,0,0,0,0,0,0
"35",35,0,0,0,0,0,0,0,0,0
