"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0.100165061289281
"18",1,17,2.88531463113947
"19",1,18,5.01452030757125
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",2,0,0
"31",2,1,0
"32",2,2,0
"33",2,3,0
"34",2,4,0
"35",2,5,0
"36",2,6,0
"37",2,7,0
"38",2,8,0
"39",2,9,0
"40",2,10,0
"41",2,11,0
"42",2,12,0
"43",2,13,0
"44",2,14,0
"45",2,15,0.00462855124245513
"46",2,16,0.115939483350553
"47",2,17,3.16476161646857
"48",2,18,3.74417039151432
"49",2,19,0.970499957424106
"50",2,20,0
"51",2,21,0
"52",2,22,0
"53",2,23,0
"54",2,24,0
"55",2,25,0
"56",2,26,0
"57",2,27,0
"58",2,28,0
"59",3,0,0
"60",3,1,0
"61",3,2,0
"62",3,3,0
"63",3,4,0
"64",3,5,0
"65",3,6,0
"66",3,7,0
"67",3,8,0
"68",3,9,0
"69",3,10,1.40601969098555
"70",3,11,0.217935720846739
"71",3,12,0.0148163866820421
"72",3,13,0
"73",3,14,0.0301116008788181
"74",3,15,1.27534233106109
"75",3,16,0.247726961244636
"76",3,17,3.83754735087702
"77",3,18,0.970499957424106
"78",3,19,0
"79",3,20,0
"80",3,21,0
"81",3,22,0
"82",3,23,0
"83",3,24,0
"84",3,25,0
"85",3,26,0
"86",3,27,0
"87",3,28,0
"88",4,0,0
"89",4,1,0
"90",4,2,0
"91",4,3,0
"92",4,4,0
"93",4,5,0
"94",4,6,0
"95",4,7,0.675739247994824
"96",4,8,0.0928606852138724
"97",4,9,0
"98",4,10,3.8740218281922
"99",4,11,1.81917219913042
"100",4,12,1.53820603946869
"101",4,13,0
"102",4,14,0
"103",4,15,0
"104",4,16,0
"105",4,17,0
"106",4,18,0
"107",4,19,0
"108",4,20,0
"109",4,21,0
"110",4,22,0
"111",4,23,0
"112",4,24,0
"113",4,25,0
"114",4,26,0
"115",4,27,0
"116",4,28,0
"117",5,0,0
"118",5,1,0
"119",5,2,0
"120",5,3,0
"121",5,4,0
"122",5,5,0
"123",5,6,0
"124",5,7,1.43526303911355
"125",5,8,0.192367079970299
"126",5,9,0.0449020942034025
"127",5,10,2.634559558941
"128",5,11,2.72296759881248
"129",5,12,0.969940628959277
"130",5,13,0
"131",5,14,0
"132",5,15,0
"133",5,16,0
"134",5,17,0
"135",5,18,0
"136",5,19,0
"137",5,20,0
"138",5,21,0
"139",5,22,0
"140",5,23,0
"141",5,24,0
"142",5,25,0
"143",5,26,0
"144",5,27,0
"145",5,28,0
"146",6,0,0
"147",6,1,0
"148",6,2,0
"149",6,3,0
"150",6,4,0
"151",6,5,0
"152",6,6,0
"153",6,7,1.74712361159289
"154",6,8,0
"155",6,9,1.99013251660717
"156",6,10,0.380744042103522
"157",6,11,0
"158",6,12,0
"159",6,13,0
"160",6,14,0.0903626729977167
"161",6,15,2.8211371992746
"162",6,16,0.970499957424106
"163",6,17,0
"164",6,18,0
"165",6,19,0
"166",6,20,0
"167",6,21,0
"168",6,22,0
"169",6,23,0
"170",6,24,0
"171",6,25,0
"172",6,26,0
"173",6,27,0
"174",6,28,0
"175",7,0,0
"176",7,1,0
"177",7,2,0
"178",7,3,0
"179",7,4,0
"180",7,5,0
"181",7,6,1.86456905307355
"182",7,7,0
"183",7,8,0
"184",7,9,0.147518995716754
"185",7,10,0.822980961707353
"186",7,11,0.0718175611405445
"187",7,12,0.075701434576209
"188",7,13,0
"189",7,14,1.53820603946869
"190",7,15,3.4792059543169
"191",7,16,0
"192",7,17,0
"193",7,18,0
"194",7,19,0
"195",7,20,0
"196",7,21,0
"197",7,22,0
"198",7,23,0
"199",7,24,0
"200",7,25,0
"201",7,26,0
"202",7,27,0
"203",7,28,0
"204",8,0,0
"205",8,1,0
"206",8,2,0
"207",8,3,0
"208",8,4,0
"209",8,5,0.668271841090225
"210",8,6,3.63669036915441
"211",8,7,0
"212",8,8,0
"213",8,9,0
"214",8,10,0
"215",8,11,1.44160667252534
"216",8,12,0
"217",8,13,2.25343111723002
"218",8,14,0
"219",8,15,0
"220",8,16,0
"221",8,17,0
"222",8,18,0
"223",8,19,0
"224",8,20,0
"225",8,21,0
"226",8,22,0
"227",8,23,0
"228",8,24,0
"229",8,25,0
"230",8,26,0
"231",8,27,0
"232",8,28,0
"233",9,0,0
"234",9,1,0
"235",9,2,0
"236",9,3,0
"237",9,4,0
"238",9,5,0.506673566092375
"239",9,6,0
"240",9,7,0
"241",9,8,0
"242",9,9,0
"243",9,10,0
"244",9,11,0
"245",9,12,0
"246",9,13,0
"247",9,14,0
"248",9,15,0
"249",9,16,0
"250",9,17,0.0403913242983179
"251",9,18,0
"252",9,19,0.355782512858367
"253",9,20,2.76927440072773
"254",9,21,0
"255",9,22,0.28096615966173
"256",9,23,0.351874246606114
"257",9,24,0.103761200848964
"258",9,25,0.514864509969028
"259",9,26,3.07641207893737
"260",9,27,0
"261",9,28,0
"262",10,0,0
"263",10,1,0
"264",10,2,0
"265",10,3,0
"266",10,4,0
"267",10,5,0
"268",10,6,0
"269",10,7,0
"270",10,8,0
"271",10,9,0
"272",10,10,0
"273",10,11,0
"274",10,12,0
"275",10,13,0
"276",10,14,0.110531178166399
"277",10,15,0.00500943459509909
"278",10,16,0.0563201713201891
"279",10,17,1.19681974808783
"280",10,18,0
"281",10,19,1.12623091495573
"282",10,20,1.45817651651328
"283",10,21,0.164912206665055
"284",10,22,0.805587750759051
"285",10,23,0.822980961707353
"286",10,24,1.28293115980591
"287",10,25,0.970499957424106
"288",10,26,0
"289",10,27,0
"290",10,28,0
"291",11,0,0
"292",11,1,0
"293",11,2,0
"294",11,3,0
"295",11,4,0.0296839074360483
"296",11,5,0
"297",11,6,0.0347250641287454
"298",11,7,0.00440271026309752
"299",11,8,0.0222267040930739
"300",11,9,0.171561736645793
"301",11,10,0.255714590834429
"302",11,11,0.0624653425265057
"303",11,12,0.298441620518475
"304",11,13,0.270819480953187
"305",11,14,0
"306",11,15,0
"307",11,16,0.0491243484908379
"308",11,17,0.351169517814693
"309",11,18,0
"310",11,19,0
"311",11,20,0
"312",11,21,0.0129601750066748
"313",11,22,0.0942975338276512
"314",11,23,0.602115141751047
"315",11,24,1.00053644742074
"316",11,25,4.73975567828901
"317",11,26,0
"318",11,27,0
"319",11,28,0
"320",12,0,0
"321",12,1,0
"322",12,2,0
"323",12,3,0
"324",12,4,0.18793108862567
"325",12,5,0.0939655443128349
"326",12,6,0.0563793265877009
"327",12,7,0
"328",12,8,0.150344870900536
"329",12,9,0.169137979763103
"330",12,10,0.169137979763103
"331",12,11,0.263103524075938
"332",12,12,0
"333",12,13,0
"334",12,14,0.0939655443128349
"335",12,15,0
"336",12,16,0
"337",12,17,0.018793108862567
"338",12,18,0.112758653175402
"339",12,19,0
"340",12,20,0
"341",12,21,0.018793108862567
"342",12,22,0.131551762037969
"343",12,23,1.69137979763103
"344",12,24,1.9920695394321
"345",12,25,0.789310572227813
"346",12,26,0
"347",12,27,0
"348",12,28,0
"349",13,0,0
"350",13,1,0
"351",13,2,0
"352",13,3,0
"353",13,4,0
"354",13,5,0
"355",13,6,0
"356",13,7,0
"357",13,8,0
"358",13,9,0
"359",13,10,0
"360",13,11,0.0297910368764284
"361",13,12,0.213595252377233
"362",13,13,0.137155833444785
"363",13,14,0.146116479970335
"364",13,15,0.108996475997143
"365",13,16,0.0544296577986054
"366",13,17,0.0422780098776897
"367",13,18,0.577941818525129
"368",13,19,0.0109168457614837
"369",13,20,0
"370",13,21,0
"371",13,22,1.02459603223522
"372",13,23,3.43159097184461
"373",13,24,1.26537349133518
"374",13,25,0.957218093956159
"375",13,26,0
"376",13,27,0
"377",13,28,0
"378",14,0,0
"379",14,1,0
"380",14,2,0
"381",14,3,0
"382",14,4,0
"383",14,5,0
"384",14,6,0
"385",14,7,0
"386",14,8,0
"387",14,9,0
"388",14,10,0
"389",14,11,0.0602389366567465
"390",14,12,0.0266434077168486
"391",14,13,1.00279892452131
"392",14,14,2.41097278335025
"393",14,15,2.58490975984252
"394",14,16,0
"395",14,17,0
"396",14,18,1.91443618791232
"397",14,19,0
"398",14,20,0
"399",14,21,0
"400",14,22,0
"401",14,23,0
"402",14,24,0
"403",14,25,0
"404",14,26,0
"405",14,27,0
"406",14,28,0
"407",15,0,0
"408",15,1,0
"409",15,2,0
"410",15,3,0
"411",15,4,0
"412",15,5,0
"413",15,6,0
"414",15,7,0
"415",15,8,0
"416",15,9,0
"417",15,10,0
"418",15,11,0
"419",15,12,0
"420",15,13,0.948823090612705
"421",15,14,0
"422",15,15,0
"423",15,16,0
"424",15,17,0
"425",15,18,0
"426",15,19,0
"427",15,20,0
"428",15,21,0.0511530256055187
"429",15,22,0.332249127907764
"430",15,23,0.990765665857438
"431",15,24,5.67700909001657
"432",15,25,0
"433",15,26,0
"434",15,27,0
"435",15,28,0
"436",16,0,0
"437",16,1,0
"438",16,2,0
"439",16,3,0
"440",16,4,0
"441",16,5,0
"442",16,6,0
"443",16,7,0
"444",16,8,0
"445",16,9,0
"446",16,10,0
"447",16,11,0
"448",16,12,0
"449",16,13,0
"450",16,14,0
"451",16,15,0
"452",16,16,0.380542122698446
"453",16,17,0
"454",16,18,0
"455",16,19,0
"456",16,20,0
"457",16,21,0.0682101008816428
"458",16,22,0.207063414557022
"459",16,23,0.471445467940291
"460",16,24,3.13299252469897
"461",16,25,0.308155397379019
"462",16,26,3.43159097184461
"463",16,27,0
"464",16,28,0
"465",17,0,0
"466",17,1,0
"467",17,2,0
"468",17,3,0
"469",17,4,0
"470",17,5,0
"471",17,6,0
"472",17,7,0
"473",17,8,0
"474",17,9,0
"475",17,10,0
"476",17,11,0
"477",17,12,0
"478",17,13,0
"479",17,14,0.0169446763585103
"480",17,15,0.781365688303523
"481",17,16,0.263842275787093
"482",17,17,0.215909826504694
"483",17,18,0.0541627771721686
"484",17,19,0.0222742538101963
"485",17,20,0.0226394217364859
"486",17,21,0.0114604292352213
"487",17,22,0.0115563335234087
"488",17,23,0.752654180166917
"489",17,24,1.71016236419813
"490",17,25,1.91443618791232
"491",17,26,2.22259158529134
"492",17,27,0
"493",17,28,0
"494",18,0,0
"495",18,1,0
"496",18,2,0
"497",18,3,0
"498",18,4,0
"499",18,5,0
"500",18,6,0
"501",18,7,0
"502",18,8,0.347660240758093
"503",18,9,0.0218340326406412
"504",18,10,0
"505",18,11,0
"506",18,12,0
"507",18,13,0
"508",18,14,0.00551287677109526
"509",18,15,0.476865698763287
"510",18,16,0.130840870046972
"511",18,17,1.53441718117043
"512",18,18,0.22596794669356
"513",18,19,0.0627823473584946
"514",18,20,0.805309739996658
"515",18,21,1.51715478393229
"516",18,22,0.649062696577141
"517",18,23,2.22259158529134
"518",18,24,0
"519",18,25,0
"520",18,26,0
"521",18,27,0
"522",18,28,0
"523",19,0,0
"524",19,1,0
"525",19,2,0
"526",19,3,0
"527",19,4,0
"528",19,5,0.974162770314669
"529",19,6,0
"530",19,7,0.181969919684519
"531",19,8,3.30173945620213
"532",19,9,0.854876926248262
"533",19,10,0.772814739638103
"534",19,11,0
"535",19,12,0
"536",19,13,0
"537",19,14,0
"538",19,15,0
"539",19,16,0
"540",19,17,0
"541",19,18,0
"542",19,19,0
"543",19,20,1.91443618791232
"544",19,21,0
"545",19,22,0
"546",19,23,0
"547",19,24,0
"548",19,25,0
"549",19,26,0
"550",19,27,0
"551",19,28,0
"552",20,0,0
"553",20,1,0.14176269693068
"554",20,2,0.0816813858915729
"555",20,3,0
"556",20,4,0.820656355507502
"557",20,5,0.464659342259085
"558",20,6,0.837057662275213
"559",20,7,0.667599535935106
"560",20,8,1.34211399969426
"561",20,9,3.64446902150658
"562",20,10,0
"563",20,11,0
"564",20,12,0
"565",20,13,0
"566",20,14,0
"567",20,15,0
"568",20,16,0
"569",20,17,0
"570",20,18,0
"571",20,19,0
"572",20,20,0
"573",20,21,0
"574",20,22,0
"575",20,23,0
"576",20,24,0
"577",20,25,0
"578",20,26,0
"579",20,27,0
"580",20,28,0
"581",21,0,0
"582",21,1,0.101856600517581
"583",21,2,0.110978877562889
"584",21,3,0.124461777666568
"585",21,4,0
"586",21,5,0.17034442353474
"587",21,6,0.00294867248746701
"588",21,7,0.00888832620984075
"589",21,8,0
"590",21,9,0.0209906182919526
"591",21,10,0.847406299932635
"592",21,11,0.0740468463563683
"593",21,12,0
"594",21,13,0.0992462496658388
"595",21,14,0.161637729389627
"596",21,15,0.684105815571254
"597",21,16,0
"598",21,17,0.558478708579133
"599",21,18,0.0435102957948102
"600",21,19,0.0223414368116803
"601",21,20,0.0459280726999133
"602",21,21,0.587452891856698
"603",21,22,0.977621051460906
"604",21,23,1.63886647397282
"605",21,24,1.71888883163728
"606",21,25,0
"607",21,26,0
"608",21,27,0
"609",21,28,0
"610",22,0,0
"611",22,1,0
"612",22,2,0
"613",22,3,0
"614",22,4,0
"615",22,5,0
"616",22,6,0
"617",22,7,0
"618",22,8,0
"619",22,9,0
"620",22,10,0
"621",22,11,0.277727034714189
"622",22,12,0
"623",22,13,0
"624",22,14,0
"625",22,15,0.0373213604882379
"626",22,16,0
"627",22,17,0
"628",22,18,0.153042597662943
"629",22,19,0.0919101613417994
"630",22,20,0.382703384315403
"631",22,21,0.576221887961367
"632",22,22,0.709140619068973
"633",22,23,1.99605648221745
"634",22,24,3.77587647222964
"635",22,25,0
"636",22,26,0
"637",22,27,0
"638",22,28,0
"639",23,0,0
"640",23,1,0
"641",23,2,0
"642",23,3,0
"643",23,4,0
"644",23,5,0
"645",23,6,0
"646",23,7,0
"647",23,8,0
"648",23,9,0
"649",23,10,0
"650",23,11,0
"651",23,12,0
"652",23,13,0
"653",23,14,0
"654",23,15,0
"655",23,16,0.585649657775769
"656",23,17,0.183015518054928
"657",23,18,0
"658",23,19,0
"659",23,20,0.146412414443942
"660",23,21,4.42897553692925
"661",23,22,1.35431483360647
"662",23,23,0.439237243331827
"663",23,24,0.366031036109856
"664",23,25,0.183015518054928
"665",23,26,0
"666",23,27,0
"667",23,28,0
"668",24,0,0
"669",24,1,0
"670",24,2,0
"671",24,3,0
"672",24,4,0
"673",24,5,0
"674",24,6,0
"675",24,7,0
"676",24,8,0
"677",24,9,0
"678",24,10,0
"679",24,11,0.0244020690739904
"680",24,12,0.207417587128918
"681",24,13,0.32942793249887
"682",24,14,1.45192310990243
"683",24,15,1.37871690268046
"684",24,16,0.0366031036109856
"685",24,17,0.146412414443942
"686",24,18,0.378232070646851
"687",24,19,0
"688",24,20,0.0976082762959615
"689",24,21,0.719861037682716
"690",24,22,0.244020690739904
"691",24,23,1.70814483517933
"692",24,24,0.841871383052668
"693",24,25,0.122010345369952
"694",24,26,0
"695",24,27,0
"696",24,28,0
"697",25,0,0
"698",25,1,0
"699",25,2,0
"700",25,3,0
"701",25,4,0
"702",25,5,0
"703",25,6,0
"704",25,7,0
"705",25,8,0.0197491374297997
"706",25,9,0.00398784788524687
"707",25,10,0
"708",25,11,0
"709",25,12,0.157361892957036
"710",25,13,0.422752991947186
"711",25,14,2.49573813175394
"712",25,15,0
"713",25,16,0.125381388029388
"714",25,17,0
"715",25,18,0.110314417641409
"716",25,19,2.25135823943189
"717",25,20,0.191180698137073
"718",25,21,0
"719",25,22,0
"720",25,23,1.36252051930554
"721",25,24,0
"722",25,25,0.859654735481496
"723",25,26,0
"724",25,27,0
"725",25,28,0
"726",26,0,0
"727",26,1,0
"728",26,2,0
"729",26,3,0
"730",26,4,0
"731",26,5,0
"732",26,6,0.00786195738155606
"733",26,7,0
"734",26,8,0
"735",26,9,0
"736",26,10,0
"737",26,11,0
"738",26,12,1.02610830514758
"739",26,13,0.205544877510847
"740",26,14,0
"741",26,15,0.201872312831484
"742",26,16,0.763278528176621
"743",26,17,2.07996806577147
"744",26,18,0.276747011254457
"745",26,19,0
"746",26,20,0
"747",26,21,0
"748",26,22,0
"749",26,23,1.02526298900188
"750",26,24,0
"751",26,25,0
"752",26,26,2.4133559529241
"753",26,27,0
"754",26,28,0
"755",27,0,0
"756",27,1,0
"757",27,2,0
"758",27,3,0
"759",27,4,0
"760",27,5,0
"761",27,6,0
"762",27,7,0
"763",27,8,0
"764",27,9,0
"765",27,10,0
"766",27,11,0
"767",27,12,0
"768",27,13,0
"769",27,14,0
"770",27,15,0.00589179076588175
"771",27,16,1.56755856410653
"772",27,17,3.34471965485907
"773",27,18,0
"774",27,19,0
"775",27,20,0
"776",27,21,0
"777",27,22,0
"778",27,23,0
"779",27,24,0
"780",27,25,0.668474037344422
"781",27,26,1.55370121744261
"782",27,27,0.859654735481496
"783",27,28,0
"784",28,0,0
"785",28,1,0
"786",28,2,0
"787",28,3,0
"788",28,4,0
"789",28,5,0
"790",28,6,0
"791",28,7,0
"792",28,8,0
"793",28,9,0
"794",28,10,0
"795",28,11,0.0622751192384063
"796",28,12,0.0270755591186512
"797",28,13,0.553362427238617
"798",28,14,0.342614858823062
"799",28,15,0
"800",28,16,0.894840630800783
"801",28,17,1.02144496764763
"802",28,18,0
"803",28,19,0
"804",28,20,0
"805",28,21,0
"806",28,22,0.0413444826016403
"807",28,23,0.392327762175217
"808",28,24,0.0896935036940595
"809",28,25,0
"810",28,26,0
"811",28,27,1.39392016159813
"812",28,28,3.1811005270638
"813",29,0,0
"814",29,1,0
"815",29,2,0
"816",29,3,0
"817",29,4,0
"818",29,5,0
"819",29,6,0
"820",29,7,0.210929835566873
"821",29,8,0.145206197084318
"822",29,9,0
"823",29,10,0
"824",29,11,0.235028058127131
"825",29,12,1.09909909651804
"826",29,13,1.05851483662975
"827",29,14,1.0329902390694
"828",29,15,1.03713120994068
"829",29,16,0
"830",29,17,0
"831",29,18,1.46179105610081
"832",29,19,0
"833",29,20,0
"834",29,21,0
"835",29,22,0
"836",29,23,0
"837",29,24,0.859654735481496
"838",29,25,0
"839",29,26,0
"840",29,27,0.859654735481496
"841",29,28,0
"842",30,0,0
"843",30,1,0
"844",30,2,0
"845",30,3,0
"846",30,4,0
"847",30,5,0
"848",30,6,0
"849",30,7,0.246266118262156
"850",30,8,0.125635630383604
"851",30,9,0.0791607896563373
"852",30,10,0.159182230730838
"853",30,11,0.0128855145987102
"854",30,12,0.534016361024175
"855",30,13,0.0302507588165034
"856",30,14,0
"857",30,15,0
"858",30,16,0
"859",30,17,0.00511431497424513
"860",30,18,1.46950229103899
"861",30,19,0.068918819891389
"862",30,20,0.191180698137074
"863",30,21,0.226118772569582
"864",30,22,0.158541455917434
"865",30,23,0.087581292640644
"866",30,24,0.387413214353836
"867",30,25,0.329530280236131
"868",30,26,0
"869",30,27,0.112824984538708
"870",30,28,3.77587647222964
