"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,3.82875985663082,1.07739879744801,5.104,6.23902500593926,8,1.13681871705158,41.353692153967,5,5.16921151924587
"2",2,3.79657246376812,1.82222164458735,7.936,3.2745345565361,7.347736078081,0.789633980940397,32.4525010115244,5,4.41666666666667
"3",3,4.12503956834532,1.19340515234118,7.617,4.10621638095991,8,0.830437142414027,54.5741467788508,8,6.82176834735635
"4",4,4.98920143884892,3.47913294870997,28.38,1.57546917952351,8,0.496757610530412,109.282956678082,5,13.6603695847602
"5",5,14.5818705035971,10.2751593618283,29.57,1.84583075113544,8,0.485784603912019,202.008554041442,29,25.2510692551802
"6",6,3.5714928057554,1.70772396661681,14.719,3.84720064671596,8,0.859867563184457,64.9741834266799,4,8.12177292833498
"7",7,9.58954316546763,6.26777810543708,19.341,3.670964833216,8,0.775732898669267,122.288778015732,15,15.2860972519665
"8",8,1.98254316546763,0.348088565963556,7.238,7.01527812141954,8,1.2664818484025,24.9236093929023,2,3.11545117411279
"9",9,3.71377697841727,2.57517267597585,14.421,3.12149450237945,8,0.710806500727675,74.587677834392,14,9.323459729299
"10",10,6.16703971119134,2.41146422727599,17.668,3.89626802310113,8,0.789346610354493,82.8651346205175,8,10.3581418275647
"11",11,7.84949025974026,1.47424203566083,18.323,3.43792999104122,8,0.768528585818529,96.322076251792,8,12.040259531474
"12",12,9.21039802631579,4.04197295175294,22.883,1.80436019243173,6.9433607404968,0.417558696363651,67.4465271930495,10,9.71381578947368
"13",13,12.0138925081433,2.23991605778522,25.803,2.77649417608172,7.67913254105484,0.698747794800071,96.6395067503758,11,12.5846905537459
"14",14,12.0190844155844,4.74990667825529,21.082,3.21290498058745,8,0.64835275140773,133.367777671802,17,16.6709722089753
"15",15,2.30691558441558,2.19222183472735,14.206,3.21290498058745,8,0.794813388750888,63.0066810646266,17,7.87583513307833
"16",16,2.00257525083612,0.94555244151442,4.74,3.68000050387895,6.25181903783981,0.718708309669992,16.3195476890768,2,2.61036789297659
"17",17,1.93608766233766,0.331670594370019,3.181,4.54617491709394,8,1.00882932073258,24.5461749170939,3,3.06827186463674
"18",18,1.79288636363636,0.166075500105428,3.094,5.75427579178757,8,1.09682041948947,22.2457242082124,2,2.78071552602655
"19",19,11.2845635179153,8.63840681637538,26.892,3.12668263072266,7.67913254105484,0.63465070475293,91.2365991644871,2,11.8811074918567
"20",20,11.1712213438735,9.40813731492726,27.65,1.2040257887274,3.31107091900035,0.246005168672558,38.3259730683499,1,11.5750988142292
"21",21,3.78710073710074,3.90160825715372,24.547,2.65042661220219,7.33825599432851,0.618457265159342,31.471562255775,3,4.28869778869779
"22",22,2.49973349633252,0.888733892260612,5.721,3.91537508214173,8,0.910163012629331,38.9774247814205,6,4.87217809767757
"23",23,9.87423658536585,8.22903776441952,24.505,3.45953227631415,8,0.662862970163219,157.518150446695,23,19.6897688058369
"24",24,2.77274937965261,3.90136732813933,22.358,2.27425214603109,6.83972846903379,0.656724763623149,22.6152312282569,2,3.30645161290323
"25",25,1.42568780487805,0.253220209349575,3.192,3.56970773672723,8,0.827596464203752,20.3329722548541,2,2.54162153185676
"26",26,1.27745890410959,0.060560058141434,1.81,2.3971565886147,2.41368870301894,0.430453287588981,3.63706516893265,1,1.50684931506849
"27",27,3.21508068459658,0.831049502338329,5.098,4.87163024353351,8,0.928677805412179,39.0613571593422,5,4.88266964491778
"28",28,2.5980243902439,0.849343134307248,4.011,5.92078200005261,8,1.08073405677194,32.8949970094619,4,4.11187462618274
"29",29,3.69396614583333,4.97955934080677,20.015,2.33469694753366,5.09388424916434,0.515037212359151,20.9857418806719,1,4.11979166666667
"30",30,8.17914010989011,7.29214804024995,19.78,1.30727068633143,4.1377959115186,0.357575532982987,35.887422232594,16,8.67307692307692
"31",31,15.5888429003021,1.93503054539419,23.164,2.4692062855689,8,0.599717282644574,155.135734283103,23,19.3919667853879
"32",32,17.9411181818182,3.38230139470042,27.462,4.68959391948445,8,0.859225991460159,191.494368695678,27,23.9367960869598
"33",33,16.3274181818182,0.997516975487506,21.183,2.21910386284321,8,0.600557604977083,150.503824322744,21,18.812978040343
"34",34,16.4634259818731,2.69553776662893,28.015,2.06250835000737,8,0.438862460135518,173.721337562371,20,21.7151671952963
"35",35,18.3067848484848,2.62236091087444,29.146,4.5588360182692,8,0.832782483681556,177.692182993585,20,22.2115228741981
"36",36,7.73881515151515,6.06255013797442,17.028,2.47049005664124,8,0.617476335790287,115.36005240507,17,14.4200065506338
"37",37,3.43116616314199,1.48038142900282,10.934,3.53473174518149,8,0.833192191206216,58.9898706915813,11,7.37373383644766
"38",38,3.05768484848485,2.78750698349841,25.357,4.18129524491769,8,0.849873660948122,84.2933025840873,3,10.5366628230109
"39",39,4.54362121212121,3.64507963632782,16.416,3.42620607029792,8,0.792903004460151,91.632741838105,16,11.4540927297631
"40",40,4.1525243902439,6.64091105992433,29.91,4.46698744582137,7.4374207219767,0.872951142234643,35.0556476712682,2,4.71341463414634
