"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0.564142332788272
"5",1,4,0
"6",1,5,2.61762042413758
"7",1,6,0.451313866230618
"8",1,7,0.361051092984494
"9",1,8,0.699536492657458
"10",1,9,0.406182479607556
"11",1,10,0.0676970799345927
"12",1,11,0.0225656933115309
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",2,0,0
"26",2,1,0
"27",2,2,1.53911966358806
"28",2,3,1.7589939012435
"29",2,4,0.314106053793482
"30",2,5,0.125642421517393
"31",2,6,0.565390896828267
"32",2,7,2.23015298193372
"33",2,8,0.973728766759793
"34",2,9,0.0628212107586963
"35",2,10,0
"36",2,11,0.0314106053793482
"37",2,12,0
"38",2,13,0
"39",2,14,0
"40",2,15,0
"41",2,16,0
"42",2,17,0
"43",2,18,0
"44",2,19,0
"45",2,20,0
"46",2,21,0
"47",2,22,0
"48",2,23,0
"49",3,0,0
"50",3,1,0
"51",3,2,6.99126655448428
"52",3,3,1.00873344551572
"53",3,4,0
"54",3,5,0
"55",3,6,0
"56",3,7,0
"57",3,8,0
"58",3,9,0
"59",3,10,0
"60",3,11,0
"61",3,12,0
"62",3,13,0
"63",3,14,0
"64",3,15,0
"65",3,16,0
"66",3,17,0
"67",3,18,0
"68",3,19,0
"69",3,20,0
"70",3,21,0
"71",3,22,0
"72",3,23,0
"73",4,0,0
"74",4,1,0
"75",4,2,1.18611905587155
"76",4,3,3.32423656793442
"77",4,4,0
"78",4,5,3.48964437619403
"79",4,6,0
"80",4,7,0
"81",4,8,0
"82",4,9,0
"83",4,10,0
"84",4,11,0
"85",4,12,0
"86",4,13,0
"87",4,14,0
"88",4,15,0
"89",4,16,0
"90",4,17,0
"91",4,18,0
"92",4,19,0
"93",4,20,0
"94",4,21,0
"95",4,22,0
"96",4,23,0
"97",5,0,0
"98",5,1,0
"99",5,2,0.0608998789492472
"100",5,3,2.43198885382527
"101",5,4,0.0334565249343048
"102",5,5,5.47365474229117
"103",5,6,0
"104",5,7,0
"105",5,8,0
"106",5,9,0
"107",5,10,0
"108",5,11,0
"109",5,12,0
"110",5,13,0
"111",5,14,0
"112",5,15,0
"113",5,16,0
"114",5,17,0
"115",5,18,0
"116",5,19,0
"117",5,20,0
"118",5,21,0
"119",5,22,0
"120",5,23,0
"121",6,0,0
"122",6,1,0
"123",6,2,0
"124",6,3,2.81504549128537
"125",6,4,0
"126",6,5,0.878453912174159
"127",6,6,0.698770157411263
"128",6,7,0
"129",6,8,0
"130",6,9,0
"131",6,10,0
"132",6,11,0
"133",6,12,0
"134",6,13,0
"135",6,14,0
"136",6,15,0
"137",6,16,0
"138",6,17,0
"139",6,18,0
"140",6,19,0
"141",6,20,0
"142",6,21,0
"143",6,22,0
"144",6,23,0
"145",7,0,0
"146",7,1,0
"147",7,2,0.897820677709451
"148",7,3,0.0460420860363821
"149",7,4,0
"150",7,5,4.35097713043811
"151",7,6,0
"152",7,7,0
"153",7,8,0
"154",7,9,0
"155",7,10,0
"156",7,11,0
"157",7,12,0
"158",7,13,0
"159",7,14,0
"160",7,15,0
"161",7,16,0
"162",7,17,0
"163",7,18,0
"164",7,19,0
"165",7,20,0
"166",7,21,0
"167",7,22,0
"168",7,23,0
"169",8,0,0
"170",8,1,0
"171",8,2,3.31558694520903
"172",8,3,1.85254025147828
"173",8,4,0
"174",8,5,2.83187280331269
"175",8,6,0
"176",8,7,0
"177",8,8,0
"178",8,9,0
"179",8,10,0
"180",8,11,0
"181",8,12,0
"182",8,13,0
"183",8,14,0
"184",8,15,0
"185",8,16,0
"186",8,17,0
"187",8,18,0
"188",8,19,0
"189",8,20,0
"190",8,21,0
"191",8,22,0
"192",8,23,0
"193",9,0,0
"194",9,1,0
"195",9,2,0.0923329527330639
"196",9,3,0
"197",9,4,0
"198",9,5,7.90766704726694
"199",9,6,0
"200",9,7,0
"201",9,8,0
"202",9,9,0
"203",9,10,0
"204",9,11,0
"205",9,12,0
"206",9,13,0
"207",9,14,0
"208",9,15,0
"209",9,16,0
"210",9,17,0
"211",9,18,0
"212",9,19,0
"213",9,20,0
"214",9,21,0
"215",9,22,0
"216",9,23,0
"217",10,0,0
"218",10,1,0
"219",10,2,0
"220",10,3,0.138208891783426
"221",10,4,0
"222",10,5,6.85230350250224
"223",10,6,0
"224",10,7,0
"225",10,8,0
"226",10,9,0
"227",10,10,1.00948760571433
"228",10,11,0
"229",10,12,0
"230",10,13,0
"231",10,14,0
"232",10,15,0
"233",10,16,0
"234",10,17,0
"235",10,18,0
"236",10,19,0
"237",10,20,0
"238",10,21,0
"239",10,22,0
"240",10,23,0
"241",11,0,0
"242",11,1,0
"243",11,2,0
"244",11,3,0
"245",11,4,0.103446194544946
"246",11,5,0.749529084389037
"247",11,6,0
"248",11,7,0
"249",11,8,1.1591636201535
"250",11,9,1.70093954351335
"251",11,10,1.4029745049433
"252",11,11,0
"253",11,12,2.88394705245586
"254",11,13,0
"255",11,14,0
"256",11,15,0
"257",11,16,0
"258",11,17,0
"259",11,18,0
"260",11,19,0
"261",11,20,0
"262",11,21,0
"263",11,22,0
"264",11,23,0
"265",12,0,0
"266",12,1,0
"267",12,2,0
"268",12,3,0.113247015047589
"269",12,4,0.6578704588207
"270",12,5,0.266712846252264
"271",12,6,0.54438025250008
"272",12,7,0.337121423077248
"273",12,8,1.10803986474212
"274",12,9,4.97262813956
"275",12,10,0
"276",12,11,0
"277",12,12,0
"278",12,13,0
"279",12,14,0
"280",12,15,0
"281",12,16,0
"282",12,17,0
"283",12,18,0
"284",12,19,0
"285",12,20,0
"286",12,21,0
"287",12,22,0
"288",12,23,0
"289",13,0,0
"290",13,1,0
"291",13,2,0.0711379195782666
"292",13,3,0
"293",13,4,0
"294",13,5,0.0369858017285898
"295",13,6,0.906200403738824
"296",13,7,0.23496355640622
"297",13,8,0.219133781574866
"298",13,9,0.0509005887532131
"299",13,10,4.24857205313174
"300",13,11,0
"301",13,12,0
"302",13,13,0.309474526784379
"303",13,14,0
"304",13,15,0
"305",13,16,0.398982057567957
"306",13,17,0
"307",13,18,0
"308",13,19,1.52364931073595
"309",13,20,0
"310",13,21,0
"311",13,22,0
"312",13,23,0
"313",14,0,0
"314",14,1,0
"315",14,2,0
"316",14,3,0
"317",14,4,0
"318",14,5,0
"319",14,6,0
"320",14,7,0.267865633128913
"321",14,8,0.55737272881808
"322",14,9,0.0481310088349165
"323",14,10,0.792966249193564
"324",14,11,0.747932189754928
"325",14,12,0.129780340451363
"326",14,13,0.0274788841419174
"327",14,14,0.0280340505039088
"328",14,15,0.118168236677077
"329",14,16,0
"330",14,17,0
"331",14,18,0.562638914657738
"332",14,19,3.19515527161872
"333",14,20,1.52447649221887
"334",14,21,0
"335",14,22,0
"336",14,23,0
"337",15,0,0
"338",15,1,0
"339",15,2,0.0395651818064086
"340",15,3,1.0872707744935
"341",15,4,0.268574682920337
"342",15,5,0
"343",15,6,0.0239124091007814
"344",15,7,0.279647885393728
"345",15,8,5.3397133821333
"346",15,9,0
"347",15,10,0
"348",15,11,0.961315684151953
"349",15,12,0
"350",15,13,0
"351",15,14,0
"352",15,15,0
"353",15,16,0
"354",15,17,0
"355",15,18,0
"356",15,19,0
"357",15,20,0
"358",15,21,0
"359",15,22,0
"360",15,23,0
"361",16,0,0
"362",16,1,0
"363",16,2,0
"364",16,3,0.541057790659996
"365",16,4,0.308037404802289
"366",16,5,0.108399222674465
"367",16,6,1.33809954795041
"368",16,7,0.852518213885489
"369",16,8,0.694894970847496
"370",16,9,0.708841201838724
"371",16,10,1.52447649221887
"372",16,11,1.92367515512226
"373",16,12,0
"374",16,13,0
"375",16,14,0
"376",16,15,0
"377",16,16,0
"378",16,17,0
"379",16,18,0
"380",16,19,0
"381",16,20,0
"382",16,21,0
"383",16,22,0
"384",16,23,0
"385",17,0,0
"386",17,1,0
"387",17,2,0
"388",17,3,0
"389",17,4,0.00872731369411278
"390",17,5,0.397740293559185
"391",17,6,0.134590183406698
"392",17,7,0.200055523932156
"393",17,8,0
"394",17,9,0.441898595125087
"395",17,10,1.13551874888403
"396",17,11,1.00888066920721
"397",17,12,4.67258867219152
"398",17,13,0
"399",17,14,0
"400",17,15,0
"401",17,16,0
"402",17,17,0
"403",17,18,0
"404",17,19,0
"405",17,20,0
"406",17,21,0
"407",17,22,0
"408",17,23,0
"409",18,0,0
"410",18,1,0
"411",18,2,0
"412",18,3,0
"413",18,4,0
"414",18,5,0.631192358516597
"415",18,6,0
"416",18,7,0
"417",18,8,0
"418",18,9,0.26245696073644
"419",18,10,0.0334205417439596
"420",18,11,0.87922750433881
"421",18,12,6.19370263466419
"422",18,13,0
"423",18,14,0
"424",18,15,0
"425",18,16,0
"426",18,17,0
"427",18,18,0
"428",18,19,0
"429",18,20,0
"430",18,21,0
"431",18,22,0
"432",18,23,0
"433",19,0,0
"434",19,1,0
"435",19,2,0
"436",19,3,0
"437",19,4,0.316182872975354
"438",19,5,0.067156893846551
"439",19,6,0
"440",19,7,0
"441",19,8,1.60716876886997
"442",19,9,3.77617377025053
"443",19,10,1.27148011649646
"444",19,11,0.961837577561131
"445",19,12,0
"446",19,13,0
"447",19,14,0
"448",19,15,0
"449",19,16,0
"450",19,17,0
"451",19,18,0
"452",19,19,0
"453",19,20,0
"454",19,21,0
"455",19,22,0
"456",19,23,0
"457",20,0,0
"458",20,1,0
"459",20,2,0
"460",20,3,0
"461",20,4,0
"462",20,5,0
"463",20,6,0
"464",20,7,0
"465",20,8,0.988462178449113
"466",20,9,0.207455025106604
"467",20,10,0
"468",20,11,1.08608807261693
"469",20,12,0
"470",20,13,0
"471",20,14,0
"472",20,15,0
"473",20,16,0
"474",20,17,0.0122032367709767
"475",20,18,0.414910050213208
"476",20,19,0.0488129470839068
"477",20,20,0.329487392816371
"478",20,21,0.0366097103129301
"479",20,22,0
"480",20,23,0
"481",21,0,0
"482",21,1,0
"483",21,2,0
"484",21,3,0
"485",21,4,0
"486",21,5,0
"487",21,6,0
"488",21,7,0
"489",21,8,0
"490",21,9,0
"491",21,10,0
"492",21,11,0.65390286392934
"493",21,12,2.03436446555795
"494",21,13,0.054491905327445
"495",21,14,0.0181639684424817
"496",21,15,0.708394769256785
"497",21,16,0.363279368849633
"498",21,17,0.0181639684424817
"499",21,18,0.526755084831968
"500",21,19,0.272459526637225
"501",21,20,0.10898381065489
"502",21,21,0.254295558194743
"503",21,22,0
"504",21,23,0
"505",22,0,0
"506",22,1,0
"507",22,2,0
"508",22,3,0
"509",22,4,0
"510",22,5,0
"511",22,6,0
"512",22,7,0
"513",22,8,0
"514",22,9,0
"515",22,10,0
"516",22,11,0.662668750529373
"517",22,12,0.0649675245617032
"518",22,13,0
"519",22,14,0.0519740196493626
"520",22,15,0.285857108071494
"521",22,16,0.493753186668944
"522",22,17,0.0389805147370219
"523",22,18,0.753623284915757
"524",22,19,0.688655760354054
"525",22,20,0
"526",22,21,0
"527",22,22,0
"528",22,23,0
"529",23,0,0
"530",23,1,0
"531",23,2,0
"532",23,3,0
"533",23,4,0
"534",23,5,0
"535",23,6,0
"536",23,7,0
"537",23,8,0
"538",23,9,0
"539",23,10,0
"540",23,11,0.439845919021415
"541",23,12,0.242364077828127
"542",23,13,0
"543",23,14,0
"544",23,15,0.0179528946539353
"545",23,16,0
"546",23,17,0
"547",23,18,0.377010787732641
"548",23,19,0.107717367923612
"549",23,20,0
"550",23,21,0.0628351312887735
"551",23,22,0
"552",23,23,0
"553",24,0,0
"554",24,1,0
"555",24,2,0
"556",24,3,0
"557",24,4,0
"558",24,5,0
"559",24,6,0
"560",24,7,0
"561",24,8,0
"562",24,9,0
"563",24,10,0
"564",24,11,0.0386927967277029
"565",24,12,1.21882309692264
"566",24,13,0
"567",24,14,0
"568",24,15,0.116078390183109
"569",24,16,0.125751589365034
"570",24,17,0
"571",24,18,0
"572",24,19,0.0870587926373315
"573",24,20,0
"574",24,21,0
"575",24,22,0
"576",24,23,0
"577",25,0,0
"578",25,1,0.0171716637247861
"579",25,2,0.206059964697434
"580",25,3,0.206059964697434
"581",25,4,0.188888300972648
"582",25,5,0
"583",25,6,0
"584",25,7,0
"585",25,8,0
"586",25,9,0
"587",25,10,0
"588",25,11,0
"589",25,12,2.88483950576407
"590",25,13,0.583836566642729
"591",25,14,0
"592",25,15,0
"593",25,16,0.549493239193157
"594",25,17,0
"595",25,18,0
"596",25,19,0
"597",25,20,0
"598",25,21,0
"599",25,22,0
"600",25,23,0
"601",26,0,0
"602",26,1,0
"603",26,2,0
"604",26,3,0
"605",26,4,0
"606",26,5,0
"607",26,6,0
"608",26,7,0
"609",26,8,0
"610",26,9,0
"611",26,10,0
"612",26,11,0
"613",26,12,0.545356965917205
"614",26,13,0.666547402787695
"615",26,14,0.811975927032282
"616",26,15,0.206023742679833
"617",26,16,0.193904698992784
"618",26,17,0
"619",26,18,0.169666611618686
"620",26,19,0.036357131061147
"621",26,20,0.048476174748196
"622",26,21,0
"623",26,22,0
"624",26,23,0
"625",27,0,0
"626",27,1,0
"627",27,2,0
"628",27,3,0
"629",27,4,0
"630",27,5,0
"631",27,6,0.216052798528248
"632",27,7,0.0800790342550703
"633",27,8,0
"634",27,9,0.0539960039960781
"635",27,10,0.392509539395294
"636",27,11,0.109233368340169
"637",27,12,0.127972108202384
"638",27,13,0.804071680521604
"639",27,14,3.29088686977876
"640",27,15,0
"641",27,16,0
"642",27,17,0.404689036861852
"643",27,18,0.570377162132279
"644",27,19,1.95013239798826
"645",27,20,0
"646",27,21,0
"647",27,22,0
"648",27,23,0
"649",28,0,0
"650",28,1,0
"651",28,2,0
"652",28,3,0
"653",28,4,0
"654",28,5,0.518877384737607
"655",28,6,0.0419948549506565
"656",28,7,0.692778082182168
"657",28,8,0
"658",28,9,0
"659",28,10,1.52238180907323
"660",28,11,0.941167614851759
"661",28,12,0.382535458228059
"662",28,13,0.18784170390422
"663",28,14,0.975066198994131
"664",28,15,2.73735689307817
"665",28,16,0
"666",28,17,0
"667",28,18,0
"668",28,19,0
"669",28,20,0
"670",28,21,0
"671",28,22,0
"672",28,23,0
"673",29,0,0
"674",29,1,0
"675",29,2,0
"676",29,3,0
"677",29,4,0
"678",29,5,2.06432074586402
"679",29,6,1.01706105394479
"680",29,7,0
"681",29,8,0.231128909124759
"682",29,9,0.0511592076872037
"683",29,10,2.11582052325869
"684",29,11,0.57037716213228
"685",29,12,1.95013239798826
"686",29,13,0
"687",29,14,0
"688",29,15,0
"689",29,16,0
"690",29,17,0
"691",29,18,0
"692",29,19,0
"693",29,20,0
"694",29,21,0
"695",29,22,0
"696",29,23,0
"697",30,0,0
"698",30,1,0
"699",30,2,0
"700",30,3,0
"701",30,4,0
"702",30,5,2.90582073526053
"703",30,6,1.23813231328492
"704",30,7,1.56661639640133
"705",30,8,0
"706",30,9,0.227412057542129
"707",30,10,0.0758040191807096
"708",30,11,0.379020095903548
"709",30,12,0.0252680063935699
"710",30,13,0
"711",30,14,0
"712",30,15,0.758040191807096
"713",30,16,0.126340031967849
"714",30,17,0
"715",30,18,0
"716",30,19,0
"717",30,20,0.0758040191807096
"718",30,21,0
"719",30,22,0
"720",30,23,0
"721",31,0,0
"722",31,1,0
"723",31,2,0
"724",31,3,0
"725",31,4,0
"726",31,5,0
"727",31,6,0.00495422294565785
"728",31,7,1.29602837135839
"729",31,8,0
"730",31,9,0
"731",31,10,0.536761203902656
"732",31,11,1.79019548212226
"733",31,12,4.37206071967104
"734",31,13,0
"735",31,14,0
"736",31,15,0
"737",31,16,0
"738",31,17,0
"739",31,18,0
"740",31,19,0
"741",31,20,0
"742",31,21,0
"743",31,22,0
"744",31,23,0
"745",32,0,0
"746",32,1,0
"747",32,2,0
"748",32,3,0
"749",32,4,0
"750",32,5,0
"751",32,6,0.270467700015128
"752",32,7,4.89546537027381
"753",32,8,0.108187080006051
"754",32,9,0
"755",32,10,0
"756",32,11,2.27192868012707
"757",32,12,0.0270467700015128
"758",32,13,0.0811403100045383
"759",32,14,0
"760",32,15,0
"761",32,16,0
"762",32,17,0
"763",32,18,0
"764",32,19,0
"765",32,20,0
"766",32,21,0
"767",32,22,0
"768",32,23,0
"769",33,0,0
"770",33,1,0
"771",33,2,0.0657992687272292
"772",33,3,0.0104002616003688
"773",33,4,0
"774",33,5,0
"775",33,6,0
"776",33,7,0
"777",33,8,0.131160705111816
"778",33,9,0.0057380573824083
"779",33,10,0
"780",33,11,1.43804333557244
"781",33,12,0.204853122455228
"782",33,13,0.114746339847488
"783",33,14,1.47638693560529
"784",33,15,0
"785",33,16,0
"786",33,17,0.0577398212524466
"787",33,18,0.762372391984858
"788",33,19,1.45632377361156
"789",33,20,1.29602837135839
"790",33,21,0
"791",33,22,0.980407615490478
"792",33,23,0
"793",34,0,0
"794",34,1,0
"795",34,2,0
"796",34,3,0
"797",34,4,0
"798",34,5,1.15987071901964
"799",34,6,1.53268630727595
"800",34,7,0
"801",34,8,0
"802",34,9,0
"803",34,10,0
"804",34,11,1.57411026152665
"805",34,12,0
"806",34,13,0
"807",34,14,0.372815588256312
"808",34,15,0.289967679754909
"809",34,16,0.227831748378857
"810",34,17,0.248543725504208
"811",34,18,0.0828479085014026
"812",34,19,0.124271862752104
"813",34,20,0
"814",34,21,0
"815",34,22,0.0207119771253507
"816",34,23,0
"817",35,0,0
"818",35,1,0
"819",35,2,0
"820",35,3,0
"821",35,4,0
"822",35,5,0
"823",35,6,0
"824",35,7,0.633617235786359
"825",35,8,0
"826",35,9,0
"827",35,10,0
"828",35,11,0.0864023503345035
"829",35,12,0
"830",35,13,0.4176113599501
"831",35,14,0.633617235786359
"832",35,15,0
"833",35,16,0.0144003917224172
"834",35,17,0.115203133779338
"835",35,18,0.25920705100351
"836",35,19,0.201605484113841
"837",35,20,0.345609401338014
"838",35,21,0.187205092391424
"839",35,22,0.345609401338014
"840",35,23,0.187205092391424
"841",36,0,0
"842",36,1,0
"843",36,2,0
"844",36,3,0
"845",36,4,0
"846",36,5,0
"847",36,6,0.385800758617619
"848",36,7,1.50363382378544
"849",36,8,0
"850",36,9,0.0577756004030986
"851",36,10,0.381188428947381
"852",36,11,3.3937547814068
"853",36,12,0
"854",36,13,0.315816333933935
"855",36,14,0.407158068988089
"856",36,15,0
"857",36,16,0
"858",36,17,0
"859",36,18,0
"860",36,19,0
"861",36,20,0
"862",36,21,0
"863",36,22,1.55487220391763
"864",36,23,0
"865",37,0,0
"866",37,1,0
"867",37,2,0
"868",37,3,0
"869",37,4,0
"870",37,5,0
"871",37,6,0.956400504339872
"872",37,7,0
"873",37,8,0
"874",37,9,0
"875",37,10,0.952031754879976
"876",37,11,0.369414347619806
"877",37,12,0
"878",37,13,0.129935745226862
"879",37,14,0.0841023040655891
"880",37,15,2.9722280034974
"881",37,16,0.573857067464771
"882",37,17,1.96203027290572
"883",37,18,0
"884",37,19,0
"885",37,20,0
"886",37,21,0
"887",37,22,0
"888",37,23,0
"889",38,0,0
"890",38,1,0
"891",38,2,0
"892",38,3,0
"893",38,4,0
"894",38,5,0
"895",38,6,0
"896",38,7,0
"897",38,8,0
"898",38,9,0
"899",38,10,0.308221806799356
"900",38,11,3.25684360233935
"901",38,12,0
"902",38,13,0
"903",38,14,0
"904",38,15,0
"905",38,16,0
"906",38,17,2.88102528488744
"907",38,18,0
"908",38,19,0.573501690483376
"909",38,20,0
"910",38,21,0.980407615490478
"911",38,22,0
"912",38,23,0
"913",39,0,0
"914",39,1,0
"915",39,2,0
"916",39,3,0.674165922309197
"917",39,4,0
"918",39,5,0
"919",39,6,0
"920",39,7,0
"921",39,8,0
"922",39,9,0
"923",39,10,0.262846529905278
"924",39,11,2.03108326901192
"925",39,12,0.941144734485481
"926",39,13,0
"927",39,14,0.460572169260356
"928",39,15,0
"929",39,16,1.66815710212205
"930",39,17,0
"931",39,18,0
"932",39,19,0
"933",39,20,0
"934",39,21,1.96203027290572
"935",39,22,0
"936",39,23,0
"937",40,0,0
"938",40,1,0
"939",40,2,0
"940",40,3,0.0351959156894225
"941",40,4,0.167335520040097
"942",40,5,0.471634486579677
"943",40,6,0
"944",40,7,0
"945",40,8,0
"946",40,9,0.272507356989002
"947",40,10,1.46110907276832
"948",40,11,3.05633030756299
"949",40,12,0.258040733530836
"950",40,13,1.29683147038679
"951",40,14,0
"952",40,15,0.98101513645286
"953",40,16,0
"954",40,17,0
"955",40,18,0
"956",40,19,0
"957",40,20,0
"958",40,21,0
"959",40,22,0
"960",40,23,0
