"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.181332179563941
"4",1,3,0.580262974604612
"5",1,4,0
"6",1,5,1.01546020555807
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,4.02557438631949
"13",1,12,0.0362664359127882
"14",1,13,0.0725328718255764
"15",1,14,0.652795846430188
"16",1,15,0.580262974604612
"17",1,16,0.145065743651153
"18",1,17,0
"19",1,18,0
"20",1,19,0.217598615476729
"21",1,20,0.0362664359127882
"22",2,0,0
"23",2,1,0
"24",2,2,0
"25",2,3,0
"26",2,4,0
"27",2,5,0.0729967203975574
"28",2,6,0.0533031025667376
"29",2,7,0
"30",2,8,0
"31",2,9,0
"32",2,10,0
"33",2,11,0.910742617761694
"34",2,12,1.64367338020704
"35",2,13,4.28224173834098
"36",2,14,0
"37",2,15,1.03704244072599
"38",2,16,0
"39",2,17,0
"40",2,18,0
"41",2,19,0
"42",2,20,0
"43",3,0,0
"44",3,1,0
"45",3,2,0
"46",3,3,0
"47",3,4,0
"48",3,5,0.628158447382379
"49",3,6,0.136106151122823
"50",3,7,0
"51",3,8,0
"52",3,9,0
"53",3,10,0
"54",3,11,1.35318958002072
"55",3,12,2.77141849929611
"56",3,13,0.199781121823231
"57",3,14,0
"58",3,15,0
"59",3,16,0
"60",3,17,0
"61",3,18,0.230630379421713
"62",3,19,1.03704244072599
"63",3,20,1.64367338020704
"64",4,0,0
"65",4,1,0
"66",4,2,0
"67",4,3,0
"68",4,4,0
"69",4,5,0.232031076778199
"70",4,6,2.06759555048452
"71",4,7,1.2143459064443
"72",4,8,0
"73",4,9,0
"74",4,10,0
"75",4,11,1.03796901933647
"76",4,12,0.764947455061418
"77",4,13,0
"78",4,14,0
"79",4,15,2.68311099189509
"80",4,16,0
"81",4,17,0
"82",4,18,0
"83",4,19,0
"84",4,20,0
"85",5,0,0
"86",5,1,0
"87",5,2,0
"88",5,3,0
"89",5,4,0
"90",5,5,0
"91",5,6,1.478649457681
"92",5,7,0.352059394685952
"93",5,8,0
"94",5,9,0
"95",5,10,0
"96",5,11,0
"97",5,12,0
"98",5,13,0
"99",5,14,0
"100",5,15,0
"101",5,16,0
"102",5,17,0
"103",5,18,2.13582699442811
"104",5,19,0.328588768373555
"105",5,20,0.164294384186778
"106",6,0,0
"107",6,1,0
"108",6,2,0
"109",6,3,0
"110",6,4,0
"111",6,5,0
"112",6,6,0
"113",6,7,0
"114",6,8,0
"115",6,9,0
"116",6,10,0
"117",6,11,0
"118",6,12,0
"119",6,13,0
"120",6,14,0
"121",6,15,0
"122",6,16,0
"123",6,17,0.00714147411509732
"124",6,18,2.17016612517543
"125",6,19,4.17901902050244
"126",6,20,1.64367338020704
"127",7,0,0
"128",7,1,0
"129",7,2,0
"130",7,3,0
"131",7,4,0
"132",7,5,0
"133",7,6,0
"134",7,7,0
"135",7,8,0
"136",7,9,0
"137",7,10,0
"138",7,11,0
"139",7,12,0
"140",7,13,0
"141",7,14,0
"142",7,15,0
"143",7,16,0
"144",7,17,0
"145",7,18,0.672102138258246
"146",7,19,1.42421643583295
"147",7,20,0.240036477949374
"148",8,0,0
"149",8,1,0
"150",8,2,0
"151",8,3,0
"152",8,4,0
"153",8,5,0
"154",8,6,0
"155",8,7,0
"156",8,8,0
"157",8,9,0
"158",8,10,0
"159",8,11,0
"160",8,12,0
"161",8,13,0
"162",8,14,0
"163",8,15,0
"164",8,16,0
"165",8,17,0
"166",8,18,0.207696966592608
"167",8,19,0
"168",8,20,0
"169",9,0,0
"170",9,1,0
"171",9,2,0
"172",9,3,0.0788132877839368
"173",9,4,0
"174",9,5,2.20677205795023
"175",9,6,0
"176",9,7,0
"177",9,8,0
"178",9,9,0
"179",9,10,0
"180",9,11,0
"181",9,12,0
"182",9,13,0
"183",9,14,0
"184",9,15,0
"185",9,16,0
"186",9,17,0
"187",9,18,0
"188",9,19,0
"189",9,20,0
"190",10,0,0
"191",10,1,0
"192",10,2,0
"193",10,3,8
"194",10,4,0
"195",10,5,0
"196",10,6,0
"197",10,7,0
"198",10,8,0
"199",10,9,0
"200",10,10,0
"201",10,11,0
"202",10,12,0
"203",10,13,0
"204",10,14,0
"205",10,15,0
"206",10,16,0
"207",10,17,0
"208",10,18,0
"209",10,19,0
"210",10,20,0
"211",11,0,0
"212",11,1,0
"213",11,2,0.175201977994415
"214",11,3,0.38208494443828
"215",11,4,4.34438855225722
"216",11,5,1.54916226265504
"217",11,6,1.54916226265504
"218",11,7,0
"219",11,8,0
"220",11,9,0
"221",11,10,0
"222",11,11,0
"223",11,12,0
"224",11,13,0
"225",11,14,0
"226",11,15,0
"227",11,16,0
"228",11,17,0
"229",11,18,0
"230",11,19,0
"231",11,20,0
"232",12,0,0
"233",12,1,0
"234",12,2,0.169725822529953
"235",12,3,3.18278738950492
"236",12,4,2.12091196069094
"237",12,5,2.52657482727419
"238",12,6,0
"239",12,7,0
"240",12,8,0
"241",12,9,0
"242",12,10,0
"243",12,11,0
"244",12,12,0
"245",12,13,0
"246",12,14,0
"247",12,15,0
"248",12,16,0
"249",12,17,0
"250",12,18,0
"251",12,19,0
"252",12,20,0
"253",13,0,0
"254",13,1,0
"255",13,2,0.542970979573927
"256",13,3,1.52795722757226
"257",13,4,2.42508440096048
"258",13,5,0
"259",13,6,0
"260",13,7,0
"261",13,8,0
"262",13,9,0
"263",13,10,0
"264",13,11,0
"265",13,12,0
"266",13,13,0.977412564619146
"267",13,14,0
"268",13,15,2.52657482727419
"269",13,16,0
"270",13,17,0
"271",13,18,0
"272",13,19,0
"273",13,20,0
"274",14,0,0
"275",14,1,0
"276",14,2,0
"277",14,3,0
"278",14,4,0.953389696398473
"279",14,5,0
"280",14,6,0
"281",14,7,0
"282",14,8,0
"283",14,9,0
"284",14,10,0
"285",14,11,0
"286",14,12,0
"287",14,13,1.09664763591128
"288",14,14,1.52857637500696
"289",14,15,0.804530017556451
"290",14,16,2.63944371050769
"291",14,17,0.977412564619146
"292",14,18,0
"293",14,19,0
"294",14,20,0
"295",15,0,0
"296",15,1,0
"297",15,2,0
"298",15,3,0
"299",15,4,0
"300",15,5,0
"301",15,6,0
"302",15,7,0.631131451363865
"303",15,8,0
"304",15,9,0
"305",15,10,0
"306",15,11,0
"307",15,12,0
"308",15,13,0.875080031227631
"309",15,14,2.41805142747928
"310",15,15,1.33179311576472
"311",15,16,2.74394397416451
"312",15,17,0
"313",15,18,0
"314",15,19,0
"315",15,20,0
"316",16,0,0
"317",16,1,0
"318",16,2,0
"319",16,3,0
"320",16,4,0
"321",16,5,0
"322",16,6,0
"323",16,7,4.21608227776859
"324",16,8,0.967218875488088
"325",16,9,0
"326",16,10,0.570411131698103
"327",16,11,0.347206775816237
"328",16,12,0.0248004839868741
"329",16,13,0.0992019359474962
"330",16,14,0.520810163724355
"331",16,15,0.372007259803111
"332",16,16,0
"333",16,17,0
"334",16,18,0
"335",16,19,0
"336",16,20,0
"337",17,0,0
"338",17,1,0
"339",17,2,0
"340",17,3,0
"341",17,4,0
"342",17,5,0
"343",17,6,0
"344",17,7,1.03300839052648
"345",17,8,0
"346",17,9,0
"347",17,10,0.610414048947468
"348",17,11,2.46513365921093
"349",17,12,0.187819707368452
"350",17,13,0.704323902631693
"351",17,14,0.892143610000145
"352",17,15,0.352161951315847
"353",17,16,0.446071805000072
"354",17,17,0
"355",17,18,0
"356",17,19,0
"357",17,20,0
"358",18,0,0
"359",18,1,0
"360",18,2,0
"361",18,3,0
"362",18,4,0
"363",18,5,0
"364",18,6,0
"365",18,7,0
"366",18,8,0.014612651594187
"367",18,9,0.0549138092291689
"368",18,10,0.144615892302182
"369",18,11,2.81330754380336
"370",18,12,0
"371",18,13,0.551163810387816
"372",18,14,0
"373",18,15,4.42138629268329
"374",18,16,0
"375",18,17,0
"376",18,18,0
"377",18,19,0
"378",18,20,0
"379",19,0,0
"380",19,1,0
"381",19,2,0
"382",19,3,0
"383",19,4,0
"384",19,5,0
"385",19,6,0
"386",19,7,0.186218504807897
"387",19,8,0.0564118527779848
"388",19,9,0.882813628430105
"389",19,10,0.904007458645686
"390",19,11,3.22660458117382
"391",19,12,2.74394397416451
"392",19,13,0
"393",19,14,0
"394",19,15,0
"395",19,16,0
"396",19,17,0
"397",19,18,0
"398",19,19,0
"399",19,20,0
"400",20,0,0
"401",20,1,0
"402",20,2,0
"403",20,3,0
"404",20,4,0.634263899377824
"405",20,5,0
"406",20,6,0
"407",20,7,0.0153367203079672
"408",20,8,0.526577896022209
"409",20,9,0
"410",20,10,0.809332030357539
"411",20,11,0.0818179548220449
"412",20,12,2.31361932880588
"413",20,13,3.61905217030654
"414",20,14,0
"415",20,15,0
"416",20,16,0
"417",20,17,0
"418",20,18,0
"419",20,19,0
"420",20,20,0
"421",21,0,0
"422",21,1,0
"423",21,2,0
"424",21,3,0.607605249383981
"425",21,4,1.08949906786093
"426",21,5,0.0104759525755859
"427",21,6,0
"428",21,7,0
"429",21,8,0
"430",21,9,0
"431",21,10,0.0104759525755859
"432",21,11,0.209519051511718
"433",21,12,0.314278577267576
"434",21,13,0.083807620604687
"435",21,14,0.439990008174607
"436",21,15,0.523797628779294
"437",21,16,0
"438",21,17,0
"439",21,18,0
"440",21,19,0
"441",21,20,0
"442",22,0,0
"443",22,1,0
"444",22,2,0
"445",22,3,0.331621748885212
"446",22,4,0
"447",22,5,2.37662253367735
"448",22,6,0
"449",22,7,0
"450",22,8,0
"451",22,9,0
"452",22,10,0
"453",22,11,0.0110540582961737
"454",22,12,0.420054215254602
"455",22,13,0
"456",22,14,0.0552702914808686
"457",22,15,0.243189282515822
"458",22,16,0
"459",22,17,0.132648699554085
"460",22,18,0
"461",22,19,0
"462",22,20,0
"463",23,0,0
"464",23,1,0
"465",23,2,0.570076693645792
"466",23,3,0
"467",23,4,0
"468",23,5,4.2348554385116
"469",23,6,0
"470",23,7,0
"471",23,8,0
"472",23,9,0
"473",23,10,0
"474",23,11,0.508997047898029
"475",23,12,2.05634807350804
"476",23,13,0.0610796457477635
"477",23,14,0
"478",23,15,0.305398228738817
"479",23,16,0
"480",23,17,0
"481",23,18,0
"482",23,19,0
"483",23,20,0
"484",24,0,0
"485",24,1,0
"486",24,2,0
"487",24,3,0
"488",24,4,0
"489",24,5,0
"490",24,6,0
"491",24,7,0
"492",24,8,0
"493",24,9,0
"494",24,10,0
"495",24,11,1.28293305485637
"496",24,12,4.15598031854881
"497",24,13,0.289111674333831
"498",24,14,0.0180694796458644
"499",24,15,1.02996033981427
"500",24,16,0
"501",24,17,0
"502",24,18,0
"503",24,19,0
"504",24,20,0
"505",25,0,0
"506",25,1,0
"507",25,2,0
"508",25,3,0
"509",25,4,4.77241264649151
"510",25,5,0.0203081389212405
"511",25,6,0.487395334109771
"512",25,7,0
"513",25,8,0
"514",25,9,0.162465111369924
"515",25,10,0
"516",25,11,1.21848833527443
"517",25,12,0.710784862243416
"518",25,13,0
"519",25,14,0.101540694606202
"520",25,15,0.264005805976126
"521",25,16,0
"522",25,17,0
"523",25,18,0
"524",25,19,0
"525",25,20,0
"526",26,0,0
"527",26,1,0.0502405772719856
"528",26,2,0.222126925883736
"529",26,3,0.224783537664386
"530",26,4,0.984639526600931
"531",26,5,0.0430620246309863
"532",26,6,0.943664763006191
"533",26,7,0.379764509546265
"534",26,8,0.0295742328971088
"535",26,9,0.227504617317308
"536",26,10,0.07275141636507
"537",26,11,3.8892074397052
"538",26,12,0
"539",26,13,0.932680429110832
"540",26,14,0
"541",26,15,0
"542",26,16,0
"543",26,17,0
"544",26,18,0
"545",26,19,0
"546",26,20,0
"547",27,0,0
"548",27,1,0.417976827392372
"549",27,2,1.90436571763402
"550",27,3,1.40135266234393
"551",27,4,3.34362436351885
"552",27,5,0.932680429110832
"553",27,6,0
"554",27,7,0
"555",27,8,0
"556",27,9,0
"557",27,10,0
"558",27,11,0
"559",27,12,0
"560",27,13,0
"561",27,14,0
"562",27,15,0
"563",27,16,0
"564",27,17,0
"565",27,18,0
"566",27,19,0
"567",27,20,0
"568",28,0,0
"569",28,1,0
"570",28,2,0.336598366916476
"571",28,3,1.08899471649448
"572",28,4,0.0593997118087899
"573",28,5,0
"574",28,6,3.52438290065487
"575",28,7,0.554397310215373
"576",28,8,0
"577",28,9,0
"578",28,10,0
"579",28,11,0.23759884723516
"580",28,12,0.316798462980213
"581",28,13,0.554397310215373
"582",28,14,0.0593997118087899
"583",28,15,0.197999039362633
"584",28,16,0.336598366916476
"585",28,17,0.23759884723516
"586",28,18,0
"587",28,19,0
"588",28,20,0
"589",29,0,0
"590",29,1,0
"591",29,2,0
"592",29,3,0
"593",29,4,0
"594",29,5,0.0035270621238535
"595",29,6,0.0142014345136988
"596",29,7,0
"597",29,8,0.607669389717895
"598",29,9,0.179676293961404
"599",29,10,0
"600",29,11,0
"601",29,12,0.127606248793981
"602",29,13,0.289729981857032
"603",29,14,0.217653605840194
"604",29,15,0.597946626302003
"605",29,16,0.134669642598005
"606",29,17,0.340693670707281
"607",29,18,0.334907908189134
"608",29,19,0.932680429110832
"609",29,20,4.21903770628469
"610",30,0,0
"611",30,1,0
"612",30,2,0
"613",30,3,0
"614",30,4,0
"615",30,5,0
"616",30,6,0
"617",30,7,0
"618",30,8,0.34611799257066
"619",30,9,0.671876103225398
"620",30,10,0.936554568132373
"621",30,11,3.13542181505186
"622",30,12,0.671876103225398
"623",30,13,1.60843067135777
"624",30,14,0.0610796457477635
"625",30,15,0
"626",30,16,0.122159291495527
"627",30,17,0.0610796457477635
"628",30,18,0
"629",30,19,0.101799409579606
"630",30,20,0.0203598819159212
"631",31,0,0
"632",31,1,0
"633",31,2,0.00992585971602292
"634",31,3,0
"635",31,4,0
"636",31,5,0.447320937474971
"637",31,6,0
"638",31,7,0
"639",31,8,0
"640",31,9,0.121209116238039
"641",31,10,0.392095012661347
"642",31,11,0.380952367389717
"643",31,12,0.929886916314428
"644",31,13,5.71860979020548
"645",31,14,0
"646",31,15,0
"647",31,16,0
"648",31,17,0
"649",31,18,0
"650",31,19,0
"651",31,20,0
"652",32,0,0
"653",32,1,0
"654",32,2,0
"655",32,3,0
"656",32,4,0.00996698254637366
"657",32,5,0.0718062664760195
"658",32,6,0
"659",32,7,0.0319255417635349
"660",32,8,0.159318862106348
"661",32,9,0.0242976898493411
"662",32,10,0.306655747439459
"663",32,11,0.402094358139603
"664",32,12,2.3827320401987
"665",32,13,0.371325631735251
"666",32,14,0
"667",32,15,1.48581920781143
"668",32,16,0
"669",32,17,2.75405767193395
"670",32,18,0
"671",32,19,0
"672",32,20,0
"673",33,0,0
"674",33,1,0
"675",33,2,0
"676",33,3,0
"677",33,4,0
"678",33,5,0
"679",33,6,0
"680",33,7,0
"681",33,8,0.0976460023704775
"682",33,9,0.755264145778408
"683",33,10,0
"684",33,11,1.13417043662465
"685",33,12,1.24716652640599
"686",33,13,1.65600848098521
"687",33,14,0
"688",33,15,3.10974440783526
"689",33,16,0
"690",33,17,0
"691",33,18,0
"692",33,19,0
"693",33,20,0
"694",34,0,0
"695",34,1,0
"696",34,2,0
"697",34,3,0
"698",34,4,3.83271881075728
"699",34,5,0
"700",34,6,0
"701",34,7,0
"702",34,8,0
"703",34,9,4.16728118924271
"704",34,10,0
"705",34,11,0
"706",34,12,0
"707",34,13,0
"708",34,14,0
"709",34,15,0
"710",34,16,0
"711",34,17,0
"712",34,18,0
"713",34,19,0
"714",34,20,0
"715",35,0,0
"716",35,1,0
"717",35,2,0
"718",35,3,0
"719",35,4,4.80583604424716
"720",35,5,0
"721",35,6,0
"722",35,7,0
"723",35,8,1.04981855335496
"724",35,9,0.233293011856658
"725",35,10,0
"726",35,11,0
"727",35,12,0
"728",35,13,0.396598120156319
"729",35,14,0
"730",35,15,0
"731",35,16,0
"732",35,17,0
"733",35,18,0
"734",35,19,0
"735",35,20,0
"736",36,0,0
"737",36,1,0
"738",36,2,2.71834191317327
"739",36,3,0.0138690913937412
"740",36,4,0
"741",36,5,0
"742",36,6,0.12482182254367
"743",36,7,0.152560005331153
"744",36,8,0.194167279512376
"745",36,9,0
"746",36,10,0
"747",36,11,0
"748",36,12,0
"749",36,13,0
"750",36,14,0
"751",36,15,0
"752",36,16,0
"753",36,17,0
"754",36,18,0
"755",36,19,0
"756",36,20,0
"757",37,0,0
"758",37,1,0
"759",37,2,1.7290398512427
"760",37,3,0
"761",37,4,0
"762",37,5,0
"763",37,6,1.45722620154715
"764",37,7,1.87068853785157
"765",37,8,2.94304540935858
"766",37,9,0
"767",37,10,0
"768",37,11,0
"769",37,12,0
"770",37,13,0
"771",37,14,0
"772",37,15,0
"773",37,16,0
"774",37,17,0
"775",37,18,0
"776",37,19,0
"777",37,20,0
"778",38,0,0
"779",38,1,0
"780",38,2,0
"781",38,3,0
"782",38,4,0
"783",38,5,0.291201701820948
"784",38,6,1.91404921451605
"785",38,7,0
"786",38,8,0.175572417338561
"787",38,9,0
"788",38,10,0
"789",38,11,0.231585651649527
"790",38,12,1.37772809771972
"791",38,13,1.25580524502125
"792",38,14,2.75405767193395
"793",38,15,0
"794",38,16,0
"795",38,17,0
"796",38,18,0
"797",38,19,0
"798",38,20,0
"799",39,0,0
"800",39,1,0
"801",39,2,0
"802",39,3,0
"803",39,4,0
"804",39,5,0.0250503118678201
"805",39,6,2.35577302180774
"806",39,7,0
"807",39,8,0
"808",39,9,0
"809",39,10,0.0269590183909583
"810",39,11,0.302272635629047
"811",39,12,2.53588734037049
"812",39,13,0.218170331563457
"813",39,14,2.53588734037049
"814",39,15,0
"815",39,16,0
"816",39,17,0
"817",39,18,0
"818",39,19,0
"819",39,20,0
"820",40,0,0
"821",40,1,0
"822",40,2,0
"823",40,3,0.459795090025717
"824",40,4,0
"825",40,5,0
"826",40,6,1.32529173007413
"827",40,7,0
"828",40,8,0
"829",40,9,0
"830",40,10,1.00073049005597
"831",40,11,0.703216020039332
"832",40,12,0.946636950052947
"833",40,13,1.08187080006051
"834",40,14,2.13669483011951
"835",40,15,0
"836",40,16,0
"837",40,17,0
"838",40,18,0
"839",40,19,0
"840",40,20,0
